ticker_yf,event_day,n_events,avg_daily_ret,med_daily_ret,avg_cum_ret,med_cum_ret
000001.SZ,-60,3,,,-0.04822101529553483,0.005993952504543154
000001.SZ,-59,3,0.011424201158089028,0.009930524776592176,-0.0375096599500826,0.015984000374991147
000001.SZ,-58,3,-0.016245540156433796,-0.029498543607109462,-0.05456373874929806,-0.013986047964196002
000001.SZ,-57,3,0.009733024371418209,0.004052681085797261,-0.04582277500371664,-0.009990047870448104
000001.SZ,-56,3,0.015254093980372993,-0.005045428002495966,-0.032722440403987675,-0.014985071805672212
000001.SZ,-55,3,-0.0045408141003417946,-0.001014125309907854,-0.036989559627530554,-0.01598400037499126
000001.SZ,-54,3,-0.025174083592996555,-0.03959394195115362,-0.061838259332706556,-0.0549450727431503
000001.SZ,-53,3,-0.013377880729732228,-0.010570864806181857,-0.07435017663550973,-0.06493512061359841
000001.SZ,-52,3,-0.020719948272193922,-0.02884610192231607,-0.09368260947750458,-0.09190809742835682
000001.SZ,-51,3,-0.003991225862417069,-0.0187018782662558,-0.09735213534599918,-0.10889112164482428
000001.SZ,-50,3,0.014407449550765708,0.019058304354250266,-0.08445461407360078,-0.09190809742835682
000001.SZ,-49,3,-0.031575095195101044,-0.052805334197270626,-0.11304656832362203,-0.13986019382548776
000001.SZ,-48,3,0.01062808570261294,0.006968690128827948,-0.10342370791258144,-0.13386614604878733
000001.SZ,-47,3,-0.008609882916637964,-0.006920463562711587,-0.11124598490162363,-0.13986019382548776
000001.SZ,-46,3,-0.0012500988343836876,-0.0011613560518280996,-0.11236209386899294,-0.1408591223948067
000001.SZ,-45,3,0.002983270434764873,0.006976681776859284,-0.10994163066071765,-0.13486516989026365
000001.SZ,-44,3,0.020581143518423068,0.042725160748085855,-0.0927270261858187,-0.09790214520505713
000001.SZ,-43,3,-0.0036914132309659267,-0.00553711984644889,-0.09605704214263477,-0.10289716914028124
