year,event_day,n_events,avg_daily_ret,med_daily_ret,avg_cum_ret,med_cum_ret
2016,-60,83,,,0.21529874818216713,0.021252857156115246
2016,-59,83,-0.018468098579083374,-0.01955988281698129,0.19684168706378394,-0.004301071078780971
2016,-58,83,0.000781434606366576,0.0010214738427785086,0.2049423733084527,-0.01015002399757714
2016,-57,83,0.007202699200104075,0.00903224972854888,0.21463264829743547,-0.0024211777202602924
2016,-56,83,0.002714958397407767,0.0,0.21797475100210817,0.0
2016,-55,83,-0.0014207804605401466,0.002020248336801478,0.2165704726470074,-0.0012018360340773082
2016,-54,83,0.0034847229211748447,-0.0014075453795937554,0.21618036931051854,0.003008341102241907
2016,-53,83,0.005166563994249902,0.0,0.22083481036693023,0.007220205636785826
2016,-52,83,0.006572805245288899,0.0060386242239216514,0.2245301283662244,0.0051176289373471295
2016,-51,83,-0.00028975137349106147,-0.0021246675512873736,0.22972968142380348,0.005415154227589314
2016,-50,83,-0.0075616390941197105,-0.010100952691779574,0.219954098101364,-0.0085995646746293
2016,-49,83,-0.0004101181413003812,0.00070476467806313,0.2147321785107514,0.004813392511438419
2016,-48,83,0.0004950544029606349,0.0,0.2167701665498086,0.007264000276532512
2016,-47,83,0.003929575470249155,0.0018796525793258745,0.2381136725952165,0.007264000276532512
2016,-46,83,-0.009594486483130443,-0.007211615102434177,0.20855978914404455,0.0
2016,-45,85,0.003917799554479482,0.0,0.20624417145233812,0.0024212944991981455
2016,-44,85,0.002332343423929969,0.004007954752034637,0.2035079210014335,0.0025511837063973974
2016,-43,85,-0.016097405787775205,-0.00432917044656389,0.18568667224920957,-0.00397879494207154
2016,-42,85,0.003345138964710969,0.0,0.18674757378911064,0.0
2016,-41,85,-0.012630279703451808,-0.007968119921316186,0.1709187280011947,-0.008119072241347003
2016,-40,85,0.0009173864369615458,0.0,0.17387911852958352,-0.010050241623450806
2016,-39,85,-0.003033521310544328,0.0,0.17258589314406086,-0.009487702261067765
2016,-38,85,0.01037685526216631,0.010146104147430668,0.17971925270710706,-0.005291000285156167
2016,-37,85,-0.005370263133636088,0.0,0.17066848725047704,-0.006613718819595937
2016,-36,85,-0.00466128103498999,-0.0062393922784325095,0.16307972988717487,-0.00749062934645095
2016,-35,85,0.005097488206119991,0.0027893975890793676,0.16697595554374273,-0.011450400898104007
2016,-34,85,-0.015559325195185898,-0.011363679466167786,0.1475956144518205,-0.019480523501747116
2016,-33,85,-0.009615198491054234,-0.005649717514124242,0.11317243884364608,-0.02162850806695016
2016,-32,85,0.0063544876571397235,-0.0010152516238119969,0.11429437854038962,-0.01740815304830834
2016,-31,85,0.0008637145563828735,0.004471491922650062,0.09277976763469213,-0.014884933513477527
2016,-30,85,-0.010772700181412999,-0.008893295810834756,0.07914335249704688,-0.023076961637717996
2016,-29,85,-0.0009923495158704766,-0.0005844148546267913,0.07540847995045986,-0.02713172706973821
2016,-28,85,-0.01614960953277485,0.0028091008088784175,-0.037022355489004545,-0.028368767943217854
2016,-27,85,-0.0028701724996344877,0.0,-0.040589120013553026,-0.03424228914727123
2016,-26,85,-0.008630907616186543,-0.007352934086817808,-0.04937938941860368,-0.04600488743211062
2016,-25,85,-0.0018952186524655095,-0.004651180533475685,-0.05139779545522011,-0.030769261805968173
