change_type,event_day,n_events,avg_daily_ret,med_daily_ret,avg_cum_ret,med_cum_ret
Exclusion,-60,290,,,0.05755489609126565,0.01491226848674665
Exclusion,-59,290,-0.00868402587906915,-0.007905273164321047,0.046400247772685865,0.010953028808970977
Exclusion,-58,290,-0.005560907743640242,0.0,0.0403601312159839,0.006509163673324991
Exclusion,-57,290,-0.005128363658612638,-0.003143403087556451,0.03345963392078027,0.0048517922705687555
Exclusion,-56,290,0.0032380834361502983,0.0021372792306481037,0.03625992153354724,0.011430011117159355
Exclusion,-55,290,0.0025201345534364736,0.0007954050972586169,0.03804741236839,0.013306377844279349
Exclusion,-54,290,-0.004360179948102674,-0.0009205242561342586,0.032446213766728745,0.00773766036995005
Exclusion,-53,290,-0.004313209761767394,-0.005069723835718076,0.0273173662973493,0.0
Exclusion,-52,290,-0.0034572003401201704,-0.0031665732017516213,0.023181183106526882,0.002129787847687692
Exclusion,-51,290,-0.005296988982871424,-0.004525271239234463,0.016870095447679995,-0.0033476263650445426
Exclusion,-50,290,0.00036937039620611034,-0.0016551881242827249,0.016647130052849526,-0.005635125572421629
Exclusion,-49,290,-0.00010044697271705327,0.0,0.01596611771949801,-0.0023179989693066227
Exclusion,-48,290,0.00023432263308445674,0.0,0.015763785139236437,-0.001766684645409411
Exclusion,-47,290,-0.006384538928820089,-0.005148014649789423,0.008549564434506288,-0.00865932818730808
Exclusion,-46,290,-0.0029196696462367526,-0.002182764379406621,0.004810730250453467,-0.009520546938151353
Exclusion,-45,290,0.002673534416968621,0.0,0.007148989413707938,-0.012715420529036292
Exclusion,-44,290,0.0009734389342466172,0.0,0.0076683443046995075,-0.008100648678877775
Exclusion,-43,290,-0.002875065667385929,-0.00023125058929202025,0.00445855317263949,-0.004862957933233492
Exclusion,-42,290,-0.00317174426276825,-0.0013509104649339077,0.0008246923130993886,-0.008489285311243489
Exclusion,-41,290,0.00531340692303078,0.003240773388464069,0.005137877406184888,-0.010200492084779134
Exclusion,-40,290,0.003761172326738015,0.0,0.008425930568833999,-0.008964903141886527
Exclusion,-39,290,0.004624334831185608,0.0015464791164235825,0.01227833929074909,-0.007294601815706903
Exclusion,-38,290,0.0008203597232362839,0.0,0.012541030551117837,-0.005364096114315986
Exclusion,-37,290,0.0013978454430568657,0.0,0.013634614023316314,-0.00838463239058429
Exclusion,-36,290,-0.0009321278076349342,-0.0035822422167196,0.01216306516500705,-0.000925947102335678
Exclusion,-35,290,0.0059797769923389575,0.0038216888757066636,0.017677039924872875,0.006460745302583559
Exclusion,-34,290,-0.0025570760883946355,-0.0006257667291070801,0.01463071547684533,0.0020421679531592574
Exclusion,-33,290,0.003343993690885241,0.003254850054219771,0.01629223633325202,0.009854777957974514
Exclusion,-32,290,0.005217552957155552,0.000695393043469883,0.020613937165388178,0.011807028467623604
Exclusion,-31,290,0.0014595640758436395,0.0,0.02164351705478193,0.014372118355364338
Exclusion,-30,290,0.000780719011721797,0.0,0.021816576244066067,0.011845084628346325
Exclusion,-29,290,-0.0010408807462874876,0.0,0.02017926715527345,0.015619472235212761
Exclusion,-28,290,-0.0033386218680560957,0.0,0.016105517881771107,0.016645108094876848
Exclusion,-27,290,-0.004517229494678839,-0.003917311209361896,0.010799250750839644,0.008589557132444692
Exclusion,-26,290,-0.003669237672038974,-0.005477745919459098,0.006400298582406664,0.005633854963237206
Exclusion,-25,290,-0.005855043592267571,-0.0050729694359945565,4.282069635221624e-06,0.0
Exclusion,-24,290,-0.005643872778718137,-0.0016454952566530845,-0.006456661074425887,-0.006317398937922047
Exclusion,-23,290,0.0029430150398995197,0.0016024633731350768,-0.0036660025376285587,0.0
Exclusion,-22,290,-0.0017030069573270063,-0.001781798267471213,-0.005784690145729311,-0.007075532440943388
Exclusion,-21,290,0.005006990000510279,0.003053610163354037,-0.0009865027677573748,-0.0033500382076639412
Exclusion,-20,290,-0.003538859159787732,-0.0027791855906043605,-0.00487813231843932,-0.0017484817062680125
Exclusion,-19,290,0.0014444906970234829,0.0,-0.004670241135045588,-0.005228913741066155
Exclusion,-18,290,-0.0017951701384778258,0.0,-0.00714867509717914,-0.006989300884022442
Exclusion,-17,290,-0.004022850387430767,-0.0015177392127127542,-0.011996583695542705,-0.0120567288423023
Exclusion,-16,290,-0.0048822403475577624,-0.0031449309202460918,-0.01752302017692502,-0.01526806208411452
Exclusion,-15,290,-0.007331433732678744,-0.004807216664358571,-0.024896884214629496,-0.023434988457552486
Exclusion,-14,290,0.014474771533717826,0.012841150827028747,-0.0117362011572793,-0.012596802925006867
Exclusion,-13,290,-0.0006864777906598689,0.0,-0.012578593266319585,-0.011123480560159882
Exclusion,-12,290,0.0009440999363082491,0.0,-0.011764055167653893,-0.011578071380800137
Exclusion,-11,290,0.00208287346131831,0.0,-0.0099051014908304,-0.008367093781637247
Exclusion,-10,290,0.0012181350250624378,0.0,-0.009347829608965443,-0.006746262838638051
Exclusion,-9,290,0.008205706143296266,0.005589651821771735,-0.0013113562434839486,0.0
Exclusion,-8,290,0.004457716489913495,0.002364263774551789,0.002506407220857641,0.0034321325212972598
Exclusion,-7,290,-0.0008736664799849661,0.0,0.0012642501416137146,0.002525250092658027
Exclusion,-6,290,-0.0036896825085978337,-0.005606472136919227,-0.002891858369805293,-0.0024264152872280897
Exclusion,-5,290,0.0040970535547384815,0.0029045118322971186,0.0005945874209239839,0.004255064966004807
Exclusion,-4,290,0.0027510249107538447,0.00160100548717923,0.002537485283168837,0.0032132584653676854
Exclusion,-3,290,0.0023464930098806426,0.0005330612345324504,0.004612014001050906,0.0061971876687836325
Exclusion,-2,290,0.00027313104100588415,-0.0008849759923044154,0.00413145733671876,0.003018013235790873
Exclusion,-1,290,-0.0001671886342579964,-0.0016212405195041857,0.003332862288989498,0.0
Exclusion,0,290,-0.00256383621042786,0.0,0.0,0.0
Exclusion,1,290,-0.002690933886802327,-0.00275322164746189,-0.002690933886802327,-0.00275322164746189
Exclusion,2,290,-0.0008237960409288396,0.0,-0.003447431815289487,-0.002680981846695074
Exclusion,3,290,-0.000896604732784078,-0.0013479311906373637,-0.004390982842424364,-0.001124500931624639
Exclusion,4,290,0.004668548043724494,0.003058215478444204,6.469447003821487e-05,0.0
Exclusion,5,290,0.004342792886459366,0.002270975762196703,0.0043919892268363585,0.0
Exclusion,6,290,-0.0015196871994613067,-0.0023855113552463947,0.0029347850882719237,-0.0024701260627956745
Exclusion,7,290,0.001854088274909715,0.0,0.004349170098578504,0.0
Exclusion,8,290,0.0025559995445111603,0.0,0.006765007791926845,-0.001263810959409195
Exclusion,9,290,0.0016622084052564225,0.0,0.008310639820179995,0.0
Exclusion,10,290,0.0036726590605205642,0.0023952106907336734,0.012026522404967037,0.00492390295334022
Exclusion,11,290,-0.00504063719630527,-0.005418029759497234,0.007070336729358469,0.0
Exclusion,12,290,-0.0005412688718879187,0.0,0.006531467745951244,0.0009460064219259934
Exclusion,13,290,-0.00046802271745200635,0.0,0.005841527596219989,0.0
Exclusion,14,290,-0.0030413318893241933,-0.002865326772473087,0.002907886659901313,0.0
Exclusion,15,290,-0.006250491355119677,-0.006510907133148169,-0.0037245609485949682,-0.008296177115202086
Exclusion,16,290,0.000462120080187666,-0.0016027453045622808,-0.003065792434300945,-0.01202752791516215
Exclusion,17,290,-0.00019038972506099517,0.0010852693466815166,-0.0033960865824804428,-0.012036137817554471
Exclusion,18,290,-0.0012455472365338481,0.0,-0.004544212671850651,-0.018513070036084156
Exclusion,19,290,-0.00021808284188124086,-0.0012577493365627523,-0.004553523862306207,-0.01722496771392018
Exclusion,20,290,0.002436230926244074,0.0,-0.0021208745238015052,-0.015376789128045076
Exclusion,21,290,0.0007844201797763006,0.0,-0.0012102810959504484,-0.01479653398755476
Exclusion,22,290,-0.004921509209033187,-0.0031061882610853853,-0.006112927508065258,-0.014618961277289455
Exclusion,23,290,-0.0011453529499460032,-0.0016689938936196858,-0.00775886308349167,-0.01734848169068548
Exclusion,24,290,0.003423058231293096,0.0014447447311982664,-0.004391795780884031,-0.016782391131938856
Exclusion,25,290,0.002693968900289741,0.0,-0.0018075213623362132,-0.013636508081488807
Exclusion,26,290,-0.0022826450730790075,-0.0017167520699715721,-0.004093409888239237,-0.014006998029777895
Exclusion,27,290,0.004080497511007815,0.0,-0.00015860449354427147,-0.010100957665121868
Exclusion,28,290,0.0014607982671185193,0.0,0.0012127372183987474,-0.012146613976037557
Exclusion,29,290,-0.006459006879864889,-0.005284020080284779,-0.005443474435284018,-0.017678833687822082
Exclusion,30,290,-0.0015410825874214212,0.0,-0.00697524520233186,-0.019289930263350408
Exclusion,31,290,-0.0034419415823784103,-0.0017292418499442186,-0.010610054911803302,-0.01992594813408116
Exclusion,32,290,-0.0011953314251674418,-0.0015965728087783404,-0.011756372716410338,-0.020547230364404645
Exclusion,33,290,-0.00237209453605438,-0.0015792271187086704,-0.013724850013033113,-0.022393462490774285
Exclusion,34,290,0.0034618707986216373,0.00403109522660805,-0.010393761922568193,-0.022240261927390814
Exclusion,35,290,0.0006248179819523667,0.0,-0.010201653069748042,-0.020803643845857034
Exclusion,36,290,0.0009875813937023433,0.0,-0.009525612302906236,-0.0194819301400323
Exclusion,37,290,0.0002491729137466651,-0.00152071105066226,-0.00991468219731131,-0.01945306295140048
Exclusion,38,290,-0.0010531825272543812,0.0,-0.011283366514247266,-0.020033518739798306
Exclusion,39,290,5.065611114981873e-05,-0.0011123725402044649,-0.011321471171556503,-0.01895583426823938
Exclusion,40,290,-0.0017048365465839165,0.0,-0.01301137725680609,-0.021901605720334394
Exclusion,41,290,0.001968272004233257,0.000888052097063885,-0.010822919203873254,-0.017588034004628994
Exclusion,42,290,0.0006685415164406794,0.0,-0.01025255061465085,-0.0185386550417323
Exclusion,43,290,0.0036298476411353716,0.0026173384114722698,-0.006845188421474618,-0.018561745023559506
Exclusion,44,290,-0.0011923592302192979,-0.003523888894054361,-0.008049836129626056,-0.01808280607647028
Exclusion,45,290,0.0013906844407471839,0.0,-0.006687586967030242,-0.019824013921382944
Exclusion,46,290,-0.0025845344401177832,-0.0006412338574990906,-0.009599322602462384,-0.015730570306518532
Exclusion,47,290,0.0015945279369539,0.0,-0.007978897770630381,-0.017951660923868573
Exclusion,48,290,-0.0007405985599764085,-0.002149461588511481,-0.008872501233051108,-0.020190208065825277
Exclusion,49,290,-0.0063798779198292145,-0.004286931895912838,-0.01457172635919077,-0.022108267296982398
Exclusion,50,290,0.004332697970980004,0.0037488281820905467,-0.01053008119323834,-0.02174334940025041
Exclusion,51,290,0.001706932966103693,0.0,-0.008818991000543206,-0.024399845591216662
Exclusion,52,290,0.0008498562264720892,-0.00047082057389824516,-0.00794505667936117,-0.020907312485779483
Exclusion,53,290,0.00010058545532244427,0.0,-0.007858022189828673,-0.0196407540996848
Exclusion,54,290,-0.0004173254204368698,0.0,-0.00776781713918004,-0.01944915408712472
Exclusion,55,290,0.005501997498953255,0.0037175405059381994,-0.002657313893643317,-0.015167816963852832
Exclusion,56,290,-0.00015769843012223628,0.0,-0.003062676966245728,-0.016056084878617316
Exclusion,57,290,-0.002271226530902728,-0.002412698273407954,-0.005445739428768596,-0.022576251720245466
Exclusion,58,290,0.0021082335815039072,0.0,-0.0035263361511781166,-0.02045211010473791
Exclusion,59,290,-0.001687351396147884,-0.0004521974819546304,-0.005248297648621804,-0.0237267992996274
Exclusion,60,290,0.0007591929752311745,0.0,-0.005056203708098323,-0.023447217217532013
Inclusion,-60,971,,,0.04348370152182391,-0.007812529685906622
Inclusion,-59,976,-0.0031280569084055337,-0.0030457162615006306,0.03611008820384922,-0.013431585435139615
Inclusion,-58,979,-0.0016406092026821982,-0.0009942311575374951,0.03364952275167012,-0.018404938605218746
Inclusion,-57,982,-0.001845439792454531,-0.0002950482614053618,0.030711727283775584,-0.019682553598852293
Inclusion,-56,985,0.0077173984316823,0.005503459129467481,0.037883882999973514,-0.012371102559197822
Inclusion,-55,990,0.006532985448892756,0.003401357234227742,0.04360747118679255,-0.006616738142108447
Inclusion,-54,992,5.618073059487904e-05,0.0,0.0417264097384115,-0.004612566786952432
Inclusion,-53,994,0.0007661655128107612,-0.001750454877081753,0.0425949808849215,-0.007310772088640283
Inclusion,-52,995,-0.001204901667753779,-0.0010478008910453918,0.04008945664985054,-0.010647811389460249
Inclusion,-51,998,0.0011568225278140946,0.0,0.03910484151477139,-0.010296729360186774
