fold,split_label,train_rows,test_rows,train_pos_rate,test_pos_rate,pr_auc,roc_auc,precision_at_1pct,precision_at_5pct,precision_at_10pct,status
1,train<= 2019-06 | test=2019-09..2020-12,425,416,0.56,0.6274038461538461,0.8332892648735379,0.7695711284142875,1.0,0.9,0.8780487804878049,ok
2,train<= 2020-12 | test=2021-03..2022-12,841,276,0.5933412604042806,0.47101449275362317,0.8190336897661642,0.8213382507903056,1.0,1.0,1.0,ok
3,train<= 2022-12 | test=2023-12..2025-03,1117,330,0.5631154879140555,0.4909090909090909,0.7011653444077753,0.7429085831863609,1.0,0.875,0.696969696969697,ok
