fold,split_label,train_rows,test_rows,train_pos_rate,test_pos_rate,accuracy,balanced_accuracy,precision_pos,recall_pos,f1_pos,mcc,brier,log_loss,roc_auc,pr_auc,precision_at_1pct,precision_at_5pct,precision_at_10pct,tn,fp,fn,tp,status
1,train<= 2019-06 | test=2019-09..2020-12,425,416,0.56,0.6274038461538461,0.7115384615384616,0.7006797676430603,0.7854251012145749,0.7432950191570882,0.7637795275590551,0.3951189499464409,0.18951576188910535,0.578949498602431,0.7696452848844395,0.8333245700378826,1.0,0.9,0.8780487804878049,102,53,67,194,ok
2,train<= 2020-12 | test=2021-03..2022-12,841,276,0.5933412604042806,0.47101449275362317,0.7427536231884058,0.7420969441517387,0.7251908396946565,0.7307692307692307,0.7279693486590039,0.4840026710690197,0.17012318945869243,0.5113442772553315,0.8213382507903055,0.8187539316010863,1.0,1.0,1.0,110,36,35,95,ok
3,train<= 2022-12 | test=2023-12..2025-03,1117,330,0.5631154879140555,0.4909090909090909,0.6787878787878788,0.6768077601410935,0.71875,0.5679012345679012,0.6344827586206897,0.36279625607476435,0.21901673766256147,0.6499735244551182,0.743018812463257,0.7010626381146394,1.0,0.875,0.696969696969697,132,36,70,92,ok
