fold,split_label,train_rows,test_rows,train_pos_rate,test_pos_rate,accuracy,balanced_accuracy,precision_pos,recall_pos,f1_pos,mcc,brier,log_loss,roc_auc,pr_auc,precision_at_1pct,precision_at_5pct,precision_at_10pct,tn,fp,fn,tp,status
1,train<= 2019-06 | test=2019-09..2020-12,425,416,0.56,0.6274038461538461,0.7091346153846154,0.6987640588307997,0.7845528455284553,0.7394636015325671,0.7613412228796844,0.39098666067314697,0.1900760020308988,0.5812606194670701,0.7672969966629588,0.8287370430336303,1.0,0.85,0.9024390243902439,102,53,68,193,ok
2,train<= 2020-12 | test=2021-03..2022-12,841,276,0.5933412604042806,0.47101449275362317,0.7355072463768116,0.7356691253951528,0.7111111111111111,0.7384615384615385,0.7245283018867924,0.470656812468701,0.16974016727878802,0.5103291277979078,0.8220758693361433,0.8191936019594359,1.0,1.0,1.0,107,39,34,96,ok
3,train<= 2022-12 | test=2023-12..2025-03,1117,330,0.5631154879140555,0.4909090909090909,0.6848484848484848,0.6827601410934745,0.7301587301587301,0.5679012345679012,0.6388888888888888,0.37611726741571383,0.21641681567358706,0.6435151082519308,0.7493018812463257,0.7080131060469825,1.0,0.9375,0.7272727272727273,134,34,70,92,ok
