event_date,ticker_yf,y_inclusion_binary,index,neg_subtype,feature_anchor_date,feature_boundary_calendar,calendar_days_before,close_at_event_anchor,ret_5d_pre,ret_20d_pre,ret_60d_pre,dist_from_60d_high,dist_from_252d_high,volume_at_event_anchor,dollar_volume_at_event_anchor,avg_volume_20d_pre,avg_volume_60d_pre,avg_dollar_volume_20d_pre,avg_dollar_volume_60d_pre,realized_vol_20d_pre,realized_vol_60d_pre,shares_source,market_cap_available,market_cap_is_approx,turnover_available,market_cap_approx,share_turnover_at_event_anchor,year,month,prior_inclusion_count_ticker
2018-09-10,000001.SZ,0,Hang Seng (China A) Corporate Sustainability Benchmark Index,Exclusion,2018-05-11,2018-05-13,120,11.010000228881836,0.03089886837794653,-0.06931527473478905,-0.24329896326099199,-0.21357141222272602,-0.2708609304147448,77236966.0,850379013.3381386,114072440.05,123698454.7,1278277951.1912856,1446332272.8562372,0.020647449905062284,0.02337131596694929,yfinance_info_static_sharesOutstanding,1,1,1,213659163801.64218,0.003980072739251273,2018,9,0.0
2019-09-09,000001.SZ,1,Hang Seng (China A) Corporate Sustainability Benchmark Index,,2019-05-10,2019-05-12,120,12.680000305175781,-0.08049308627612861,-0.08513704045677839,0.14234233057718604,-0.1391717108464562,-0.1391717108464562,119239908.0,1511962069.829132,124058461.25,127530880.3,1701089599.8813167,1635441607.5796165,0.03023939770067984,0.02593147964280279,yfinance_info_static_sharesOutstanding,1,1,1,246067048672.85626,0.006144512554540657,2019,9,0.0
2018-09-10,000002.SZ,1,Hang Seng (China A) Corporate Sustainability Index,,2018-05-11,2018-05-13,120,27.940000534057617,0.0382757596613128,-0.14320760468834592,-0.2446607389498311,-0.21998881149921434,-0.32069049821354756,31830373.0,889340638.6192532,40813179.8,44220710.4,1184233110.064897,1397698518.6914248,0.02320588883293368,0.026530746980457303,yfinance_info_static_sharesOutstanding,1,1,1,271694056325.30124,0.0032733165040402623,2018,9,0.0
2020-03-09,000008.SZ,0,Hang Seng Stock Connect Greater Bay Area Composite Index,Removal,2019-11-08,2019-11-10,120,3.430000066757202,-0.014367802310988553,-0.022792001117782346,-0.02832858511134717,-0.1488834024352771,-0.3098591123632751,11321737.0,38833558.665807486,21591897.9,25743859.283333335,76213047.60380799,93477856.9151498,0.011118432964117169,0.020378500245448,yfinance_info_static_sharesOutstanding,1,1,1,9317175634.027775,0.004167953915560129,2020,3,0.0
2017-09-04,000009.SZ,0,Hang Seng China A Industry Top Index,Exclusion,2017-05-05,2017-05-07,120,6.883333206176758,-0.01666668483189171,-0.11468384286219557,-0.14581181155711243,-0.17234460343350322,-0.32295078983937187,23797494.0,163806080.67399216,31763647.25,29785663.0,241121761.85566765,235612483.21750018,0.018063595691136212,0.013292498876763174,yfinance_info_static_sharesOutstanding,1,1,1,17753589131.119316,0.00922664591729597,2017,9,0.0
2019-09-09,000021.SZ,1,Hang Seng (China A) Corporate Sustainability Benchmark Index,,2019-05-10,2019-05-12,120,8.119999885559082,-0.04806563426108068,-0.1515151364162891,0.39279588195900095,-0.2529898830682975,-0.2529898830682975,34965224.0,283917614.87854767,27988994.1,40921795.916666664,245437466.1047244,365801738.0726782,0.03756357545101239,0.041479199455618086,yfinance_info_static_sharesOutstanding,1,1,1,12762045626.295439,0.02224703023264172,2019,9,0.0
2021-09-06,000025.SZ,0,Hang Seng Stock Connect Greater Bay Area Composite Index,Removal,2021-05-07,2021-05-09,120,14.4399995803833,-0.01163587134078059,-0.04497356549752629,-0.055591915211928744,-0.13996433633132022,-0.4385692081692367,1414052.0,20418910.286640167,2130833.1,3044247.1333333333,31714191.791380692,46463573.48319586,0.012113648768666064,0.020971710126895523,,0,0,0,,,2021,9,0.0
2019-09-09,000035.SZ,1,Hang Seng (China A) Corporate Sustainability Benchmark Index,,2019-05-10,2019-05-12,120,4.570000171661377,-0.11605413844842172,-0.1473880489131716,-0.04393306044549161,-0.20244325367378901,-0.3199404294131617,8911442.0,40725291.469750404,12542619.7,11093776.933333334,65216946.548633456,59246556.11224119,0.028267730214091825,0.025913628273343457,yfinance_info_static_sharesOutstanding,1,1,1,10913310164.262993,0.003731708423637632,2019,9,0.0
2020-03-09,000036.SZ,0,Hang Seng Stock Connect Greater Bay Area Composite Index,Removal,2019-11-08,2019-11-10,120,3.9600000381469727,-0.022222258851686716,-0.07042257620103631,-0.10204077660664934,-0.17500002483526766,-0.36444443083921396,3216620.0,12737815.322704315,4743850.65,7977053.366666666,19599592.78518673,35158728.29302661,0.010761724653790107,0.013680940336912743,yfinance_info_static_sharesOutstanding,1,1,1,5559122204.5514345,0.0022913357278376524,2020,3,0.0
2017-09-04,000039.SZ,0,Hang Seng China A Top 100 Index,Exclusion,2017-05-05,2017-05-07,120,8.444443702697754,-0.044025206800684225,-0.09523814389494978,-0.044025206800684225,-0.14558747271413908,-0.14558747271413908,24784209.0,209288857.616395,26812876.45,22839263.166666668,251771285.06358925,212098633.9746805,0.02039113881594425,0.01789612562579286,yfinance_info_static_sharesOutstanding,1,1,1,19444872651.99288,0.010763189935057003,2017,9,0.0
