date,index,change_type,ticker,ticker_normalized,company
9/10/18,Hang Seng Corporate Sustainability Benchmark Index,Inclusion,142,0142.HK,First Pacific Co. Ltd.
9/10/18,Hang Seng Corporate Sustainability Benchmark Index,Inclusion,163,0163.HK,Emperor International Holdings Ltd.
9/10/18,Hang Seng Corporate Sustainability Benchmark Index,Inclusion,173,0173.HK,K. Wah International Holdings Ltd.
9/10/18,Hang Seng Corporate Sustainability Benchmark Index,Inclusion,175,0175.HK,Geely Automobile Holdings Ltd.
9/10/18,Hang Seng Corporate Sustainability Benchmark Index,Inclusion,179,0179.HK,Johnson Electric Holdings Ltd.
9/10/18,Hang Seng Corporate Sustainability Benchmark Index,Inclusion,288,0288.HK,WH Group Ltd.
9/10/18,Hang Seng Corporate Sustainability Benchmark Index,Inclusion,345,0345.HK,Vitasoy International Holdings Ltd.
9/10/18,Hang Seng Corporate Sustainability Benchmark Index,Inclusion,517,0517.HK,"COSCO SHIPPING International (Hong Kong) Co., Ltd."
9/10/18,Hang Seng Corporate Sustainability Benchmark Index,Inclusion,968,0968.HK,Xinyi Solar Holdings Ltd.
9/10/18,Hang Seng Corporate Sustainability Benchmark Index,Inclusion,1112,1112.HK,Health and Happiness (H&H) International Holdings Ltd.
9/10/18,Hang Seng Corporate Sustainability Benchmark Index,Inclusion,1138,1138.HK,"COSCO SHIPPING Energy Transportation Co., Ltd. - H Shares"
9/10/18,Hang Seng Corporate Sustainability Benchmark Index,Inclusion,1257,1257.HK,China Everbright Greentech Ltd.
9/10/18,Hang Seng Corporate Sustainability Benchmark Index,Inclusion,1299,1299.HK,AIA Group Ltd.
9/10/18,Hang Seng Corporate Sustainability Benchmark Index,Inclusion,1658,1658.HK,"Postal Savings Bank of China Co., Ltd. - H Shares"
9/10/18,Hang Seng Corporate Sustainability Benchmark Index,Inclusion,1686,1686.HK,SUNeVision Holdings Ltd.
9/10/18,Hang Seng Corporate Sustainability Benchmark Index,Inclusion,3320,3320.HK,China Resources Pharmaceutical Group Ltd.
9/10/18,Hang Seng Corporate Sustainability Benchmark Index,Inclusion,3618,3618.HK,"Chongqing Rural Commercial Bank Co., Ltd. - H Shares"
9/10/18,Hang Seng Corporate Sustainability Index,Exclusion,66,0066.HK,MTR Corporation Ltd.
9/10/18,Hang Seng Corporate Sustainability Index,Exclusion,390,0390.HK,China Railway Group Ltd. - H Shares
9/10/18,Hang Seng Corporate Sustainability Index,Exclusion,494,0494.HK,Li & Fung Ltd.
9/10/18,Hang Seng Corporate Sustainability Index,Exclusion,1398,1398.HK,Industrial and Commercial Bank of China Ltd. - H Shares
9/10/18,Hang Seng Corporate Sustainability Index,Exclusion,3968,3968.HK,"China Merchants Bank Co., Ltd. - H Shares"
9/10/18,Hang Seng Corporate Sustainability Index,Exclusion,3988,3988.HK,Bank of China Ltd. - H Shares
9/10/18,Hang Seng Corporate Sustainability Index,Inclusion,69,0069.HK,Shangri-La Asia Ltd.
9/10/18,Hang Seng Corporate Sustainability Index,Inclusion,87,0087.HK,Swire Pacific Ltd. 'B'
9/10/18,Hang Seng Corporate Sustainability Index,Inclusion,316,0316.HK,Orient Overseas (International) Ltd.
9/10/18,Hang Seng Corporate Sustainability Index,Inclusion,683,0683.HK,Kerry Properties Ltd.
9/10/18,Hang Seng Corporate Sustainability Index,Inclusion,981,0981.HK,Semiconductor Manufacturing International Corporation
9/10/18,Hang Seng Corporate Sustainability Index,Inclusion,1109,1109.HK,China Resources Land Ltd.
9/10/18,Hang Seng Index,Exclusion,23,0023.HK,"The Bank of East Asia, Ltd."
9/10/18,Hang Seng Index,Exclusion,144,0144.HK,China Merchants Port Holdings Co. Ltd.
9/10/18,Hang Seng Index,Inclusion,1177,1177.HK,Sino Biopharmaceutical Ltd.
9/10/18,Hang Seng Index,Inclusion,2313,2313.HK,Shenzhou International Group Holdings Ltd.
9/10/18,Hang Seng Stock Connect China AH Index Series,Exclusion,317 / 600685,0317.HK / 600685.SH,CSSC Offshore & Marine Engineering (Group) Co. Ltd.
9/10/18,Hang Seng Stock Connect China AH Index Series,Inclusion,1528 / 601828,1528.HK / 601828.SH,Red Star Macalline Group Corporation Ltd.
12/10/18,Hang Seng China Enterprises Index,Exclusion,6881,6881.HK,"China Galaxy Securities Co., Ltd. - H Shares"
12/10/18,Hang Seng China Enterprises Index,Inclusion,788,0788.HK,China Tower Corporation Ltd. - H Shares
12/10/18,Hang Seng Composite LargeCap & MidCap Index,Inclusion,788,0788.HK,China Tower Corporation Ltd. - H Shares MidCap Telecommunications
12/10/18,Hang Seng Composite LargeCap & MidCap Index,Inclusion,2048,2048.HK,E-House (China) Enterprise Holdings Ltd. MidCap Properties & Construction
12/10/18,Hang Seng Composite LargeCap & MidCap Index,Inclusion,6862,6862.HK,Haidilao International Holding Ltd. LargeCap Consumer Services
3/11/19,Hang Seng China 50 Index,Exclusion,1336 / 601336,1336.HK / 601336.SH,"New China Life Insurance Co., Ltd."
3/11/19,Hang Seng China 50 Index,Inclusion,601360,601360.SH,"360 Security Technology, Inc."
3/11/19,Hang Seng China Enterprises Index,Exclusion,6060,6060.HK,"ZhongAn Online P & C Insurance Co., Ltd. - H Shares"
3/11/19,Hang Seng China Enterprises Index,Inclusion,3323,3323.HK,China National Building Material Co. Ltd. - H Shares
3/11/19,Hang Seng Composite LargeCap & MidCap Index,Exclusion,54,0054.HK,Hopewell Holdings Ltd.
3/11/19,Hang Seng Composite LargeCap & MidCap Index,Exclusion,242,0242.HK,Shun Tak Holdings Ltd.
3/11/19,Hang Seng Composite LargeCap & MidCap Index,Exclusion,315,0315.HK,SmarTone Telecommunications Holdings Ltd.
3/11/19,Hang Seng Composite LargeCap & MidCap Index,Exclusion,316,0316.HK,Orient Overseas (International) Ltd.
3/11/19,Hang Seng Composite LargeCap & MidCap Index,Exclusion,439,0439.HK,KuangChi Science Ltd.
3/11/19,Hang Seng Composite LargeCap & MidCap Index,Exclusion,698,0698.HK,Tongda Group Holdings Ltd.
3/11/19,Hang Seng Composite LargeCap & MidCap Index,Exclusion,737,0737.HK,Hopewell Highway Infrastructure Ltd.
3/11/19,Hang Seng Composite LargeCap & MidCap Index,Exclusion,751,0751.HK,Skyworth Digital Holdings Ltd.
3/11/19,Hang Seng Composite LargeCap & MidCap Index,Exclusion,777,0777.HK,NetDragon Websoft Holdings Ltd.
3/11/19,Hang Seng Composite LargeCap & MidCap Index,Exclusion,934,0934.HK,Sinopec Kantons Holdings Ltd.
3/11/19,Hang Seng Composite LargeCap & MidCap Index,Exclusion,1282,1282.HK,China Goldjoy Group Ltd.
3/11/19,Hang Seng Composite LargeCap & MidCap Index,Exclusion,1293,1293.HK,Grand Baoxin Auto Group Ltd.
3/11/19,Hang Seng Composite LargeCap & MidCap Index,Exclusion,1919,1919.HK,"COSCO SHIPPING Holdings Co., Ltd. - H Shares"
3/11/19,Hang Seng Composite LargeCap & MidCap Index,Exclusion,2048,2048.HK,E-House (China) Enterprise Holdings Ltd.
3/11/19,Hang Seng Composite LargeCap & MidCap Index,Inclusion,268,0268.HK,Kingdee International Software Group Co. Ltd.
3/11/19,Hang Seng Composite LargeCap & MidCap Index,Inclusion,467,0467.HK,United Energy Group Ltd.
3/11/19,Hang Seng Composite LargeCap & MidCap Index,Inclusion,612,0612.HK,China Ding Yi Feng Holdings Ltd.
3/11/19,Hang Seng Composite LargeCap & MidCap Index,Inclusion,691,0691.HK,China Shanshui Cement Group Ltd.
3/11/19,Hang Seng Composite LargeCap & MidCap Index,Inclusion,780,0780.HK,Tongcheng-Elong Holdings Ltd.
3/11/19,Hang Seng Composite LargeCap & MidCap Index,Inclusion,1992,1992.HK,Fosun Tourism Group
3/11/19,Hang Seng Composite LargeCap & MidCap Index,Inclusion,2005,2005.HK,SSY Group Ltd.
3/11/19,Hang Seng Composite LargeCap & MidCap Index,Inclusion,2331,2331.HK,Li Ning Co. Ltd.
3/11/19,Hang Seng Composite LargeCap & MidCap Index,Inclusion,2869,2869.HK,Greentown Service Group Co. Ltd.
3/11/19,Hang Seng Composite LargeCap & MidCap Index,Inclusion,2888,2888.HK,Standard Chartered PLC
3/11/19,Hang Seng Composite LargeCap & MidCap Index,Inclusion,3633,3633.HK,Zhongyu Gas Holdings Ltd.
3/11/19,Hang Seng Index,Exclusion,836,0836.HK,China Resources Power Holdings Co. Ltd.
3/11/19,Hang Seng Index,Inclusion,669,0669.HK,Techtronic Industries Co. Ltd.
3/11/19,Hang Seng Stock Connect China AH Index Series,Exclusion,525 / 601333,0525.HK / 601333.SH,Guangshen Railway Co. Ltd.
3/11/19,Hang Seng Stock Connect China AH Index Series,Exclusion,921 / 000921,0921.HK / 000921.SZ,"Hisense Home Appliances Group Co., Ltd."
3/11/19,Hang Seng Stock Connect China AH Index Series,Exclusion,991 / 601991,0991.HK / 601991.SH,"Datang International Power Generation Co., Ltd."
3/11/19,Hang Seng Stock Connect China AH Index Series,Exclusion,1157 / 000157,1157.HK / 000157.SZ,"Zoomlion Heavy Industry Science and Technology Co., Ltd"
3/11/19,Hang Seng Stock Connect China AH Index Series,Exclusion,1528 / 601828,1528.HK / 601828.SH,Red Star Macalline Group Corporation Ltd.
3/11/19,Hang Seng Stock Connect China AH Index Series,Exclusion,1618 / 601618,1618.HK / 601618.SH,Metallurgical Corporation of China Ltd.
3/11/19,Hang Seng Stock Connect China AH Index Series,Exclusion,1812 / 000488,1812.HK / 000488.SZ,Shandong Chenming Paper Holdings Ltd.
3/11/19,Hang Seng Stock Connect China AH Index Series,Exclusion,2611 / 601211,2611.HK / 601211.SH,"Guotai Junan Securities Co., Ltd."
3/11/19,Hang Seng Stock Connect China AH Index Series,Exclusion,2727 / 601727,2727.HK / 601727.SH,Shanghai Electric Group Co. Ltd.
3/11/19,Hang Seng Stock Connect China AH Index Series,Exclusion,2866 / 601866,2866.HK / 601866.SH,"COSCO SHIPPING Development Co., Ltd."
3/11/19,Hang Seng Stock Connect China AH Index Series,Exclusion,3958 / 600958,3958.HK / 600958.SH,Orient Securities Co. Ltd.
3/11/19,Hang Seng Stock Connect China AH Index Series,Exclusion,6099 / 600999,6099.HK / 600999.SH,"China Merchants Securities Co., Ltd."
3/11/19,Hang Seng Stock Connect China AH Index Series,Inclusion,1339 / 601319,1339.HK / 601319.SH,The People's Insurance Co. (Group) of China Ltd.
3/11/19,Hang Seng Stock Connect China AH Index Series,Inclusion,1772 / 002460,1772.HK / 002460.SZ,"Ganfeng Lithium Co., Ltd."
3/11/19,Hang Seng Stock Connect China AH Index Series,Inclusion,1787 / 600547,1787.HK / 600547.SH,"Shandong Gold Mining Co., Ltd."
3/11/19,Hang Seng Stock Connect China AH Index Series,Inclusion,2359 / 603259,2359.HK / 603259.SH,"WuXi AppTec Co., Ltd."
3/11/19,Hang Seng Stock Connect China AH Index Series,Inclusion,6869 / 601869,6869.HK / 601869.SH,Yangtze Optical Fibre and Cable Joint Stock Ltd. Co.
6/17/19,Hang Seng China Enterprises Index,Exclusion,753,0753.HK,Air China Ltd. - H Shares
6/17/19,Hang Seng China Enterprises Index,Exclusion,902,0902.HK,"Huaneng Power International, Inc. - H Shares"
6/17/19,Hang Seng China Enterprises Index,Exclusion,1776,1776.HK,"GF Securities Co., Ltd. - H Shares"
6/17/19,Hang Seng China Enterprises Index,Exclusion,1816,1816.HK,"CGN Power Co., Ltd. - H Shares"
6/17/19,Hang Seng China Enterprises Index,Exclusion,2333,2333.HK,Great Wall Motor Co. Ltd. - H Shares
6/17/19,Hang Seng China Enterprises Index,Inclusion,291,0291.HK,China Resources Beer (Holdings) Co. Ltd.
6/17/19,Hang Seng China Enterprises Index,Inclusion,960,0960.HK,Longfor Group Holdings Ltd.
6/17/19,Hang Seng China Enterprises Index,Inclusion,2007,2007.HK,Country Garden Holdings Co. Ltd.
6/17/19,Hang Seng China Enterprises Index,Inclusion,2020,2020.HK,ANTA Sports Products Ltd.
6/17/19,Hang Seng China Enterprises Index,Inclusion,2688,2688.HK,ENN Energy Holdings Ltd.
6/17/19,Hang Seng Composite LargeCap & MidCap Index,Inclusion,1896,1896.HK,Maoyan Entertainment MidCap Consumer Services
9/9/19,Hang Seng (China A) Corporate Sustainability Benchmark Index,Inclusion,000001,000001.SZ,PAB
9/9/19,Hang Seng (China A) Corporate Sustainability Benchmark Index,Inclusion,000021,000021.SZ,KAIFA
9/9/19,Hang Seng (China A) Corporate Sustainability Benchmark Index,Inclusion,000035,000035.SZ,CHINA TIANYING
9/9/19,Hang Seng (China A) Corporate Sustainability Benchmark Index,Inclusion,000039,000039.SZ,CIMC
9/9/19,Hang Seng (China A) Corporate Sustainability Benchmark Index,Inclusion,000046,000046.SZ,OCEANWIDE HOLDINGS
9/9/19,Hang Seng (China A) Corporate Sustainability Benchmark Index,Inclusion,000050,000050.SZ,TIANMA
9/9/19,Hang Seng (China A) Corporate Sustainability Benchmark Index,Inclusion,000063,000063.SZ,ZTE
9/9/19,Hang Seng (China A) Corporate Sustainability Benchmark Index,Inclusion,000066,000066.SZ,CGT GROUP
9/9/19,Hang Seng (China A) Corporate Sustainability Benchmark Index,Inclusion,000100,000100.SZ,TCL
9/9/19,Hang Seng (China A) Corporate Sustainability Benchmark Index,Inclusion,000513,000513.SZ,LIVZON GROUP
9/9/19,Hang Seng (China A) Corporate Sustainability Benchmark Index,Inclusion,000528,000528.SZ,LIUGONG
9/9/19,Hang Seng (China A) Corporate Sustainability Benchmark Index,Inclusion,000540,000540.SZ,ZHONGTIAN
9/9/19,Hang Seng (China A) Corporate Sustainability Benchmark Index,Inclusion,000546,000546.SZ,JYC
9/9/19,Hang Seng (China A) Corporate Sustainability Benchmark Index,Inclusion,000825,000825.SZ,STSS
9/9/19,Hang Seng (China A) Corporate Sustainability Benchmark Index,Inclusion,000997,000997.SZ,NEWLAND
9/9/19,Hang Seng (China A) Corporate Sustainability Benchmark Index,Inclusion,001979,001979.SZ,CMSK
9/9/19,Hang Seng (China A) Corporate Sustainability Benchmark Index,Inclusion,002078,002078.SZ,SUN PAPER
9/9/19,Hang Seng (China A) Corporate Sustainability Benchmark Index,Inclusion,002179,002179.SZ,JONHON
9/9/19,Hang Seng (China A) Corporate Sustainability Benchmark Index,Inclusion,002249,002249.SZ,DYDJ
9/9/19,Hang Seng (China A) Corporate Sustainability Benchmark Index,Inclusion,002371,002371.SZ,SEVENSTAR
9/9/19,Hang Seng (China A) Corporate Sustainability Benchmark Index,Inclusion,002407,002407.SZ,DFD
9/9/19,Hang Seng (China A) Corporate Sustainability Benchmark Index,Inclusion,002415,002415.SZ,HIKVISION
9/9/19,Hang Seng (China A) Corporate Sustainability Benchmark Index,Inclusion,002601,002601.SZ,BLL
9/9/19,Hang Seng (China A) Corporate Sustainability Benchmark Index,Inclusion,002815,002815.SZ,SUNTAK
9/9/19,Hang Seng (China A) Corporate Sustainability Benchmark Index,Inclusion,002916,002916.SZ,SCC
9/9/19,Hang Seng (China A) Corporate Sustainability Benchmark Index,Inclusion,300124,300124.SZ,INOVANCE
9/9/19,Hang Seng (China A) Corporate Sustainability Benchmark Index,Inclusion,300274,300274.SZ,SUNGROW POWER
9/9/19,Hang Seng (China A) Corporate Sustainability Benchmark Index,Inclusion,300398,300398.SZ,PHICHEM
9/9/19,Hang Seng (China A) Corporate Sustainability Benchmark Index,Inclusion,300750,300750.SZ,CATL
9/9/19,Hang Seng (China A) Corporate Sustainability Benchmark Index,Inclusion,600011,600011.SH,HPI
9/9/19,Hang Seng (China A) Corporate Sustainability Benchmark Index,Inclusion,600012,600012.SH,ANHUI EXPRESSWAY
9/9/19,Hang Seng (China A) Corporate Sustainability Benchmark Index,Inclusion,600018,600018.SH,SIPG
9/9/19,Hang Seng (China A) Corporate Sustainability Benchmark Index,Inclusion,600020,600020.SH,ZHONGYUAN EXPRESSWAY
9/9/19,Hang Seng (China A) Corporate Sustainability Benchmark Index,Inclusion,600025,600025.SH,HUANENG HYDROPOWER
9/9/19,Hang Seng (China A) Corporate Sustainability Benchmark Index,Inclusion,600026,600026.SH,CSET
9/9/19,Hang Seng (China A) Corporate Sustainability Benchmark Index,Inclusion,600114,600114.SH,NBTM
9/9/19,Hang Seng (China A) Corporate Sustainability Benchmark Index,Inclusion,600171,600171.SH,BELLING
9/9/19,Hang Seng (China A) Corporate Sustainability Benchmark Index,Inclusion,600183,600183.SH,SYTECH
9/9/19,Hang Seng (China A) Corporate Sustainability Benchmark Index,Inclusion,600188,600188.SH,YANZHOUCOAL
9/9/19,Hang Seng (China A) Corporate Sustainability Benchmark Index,Inclusion,600216,600216.SH,ZMC
9/9/19,Hang Seng (China A) Corporate Sustainability Benchmark Index,Inclusion,600271,600271.SH,AISINO CORPORATION
9/9/19,Hang Seng (China A) Corporate Sustainability Benchmark Index,Inclusion,600282,600282.SH,NISCO
9/9/19,Hang Seng (China A) Corporate Sustainability Benchmark Index,Inclusion,600323,600323.SH,GRANDBLUE ENV
9/9/19,Hang Seng (China A) Corporate Sustainability Benchmark Index,Inclusion,600332,600332.SH,GYBYS
9/9/19,Hang Seng (China A) Corporate Sustainability Benchmark Index,Inclusion,600337,600337.SH,MIHF
9/9/19,Hang Seng (China A) Corporate Sustainability Benchmark Index,Inclusion,600377,600377.SH,JIANGSU EXPRESS
9/9/19,Hang Seng (China A) Corporate Sustainability Benchmark Index,Inclusion,600380,600380.SH,JOINCARE
9/9/19,Hang Seng (China A) Corporate Sustainability Benchmark Index,Inclusion,600525,600525.SH,CYG
9/9/19,Hang Seng (China A) Corporate Sustainability Benchmark Index,Inclusion,600565,600565.SH,DIMA
9/9/19,Hang Seng (China A) Corporate Sustainability Benchmark Index,Inclusion,600580,600580.SH,WOLONG ELECTRIC
9/9/19,Hang Seng (China A) Corporate Sustainability Benchmark Index,Inclusion,600588,600588.SH,YONYOU
9/9/19,Hang Seng (China A) Corporate Sustainability Benchmark Index,Inclusion,600600,600600.SH,TSINGTAO BREWERY
9/9/19,Hang Seng (China A) Corporate Sustainability Benchmark Index,Inclusion,600648,600648.SH,WGQ
9/9/19,Hang Seng (China A) Corporate Sustainability Benchmark Index,Inclusion,600750,600750.SH,JZYY
9/9/19,Hang Seng (China A) Corporate Sustainability Benchmark Index,Inclusion,600775,600775.SH,NPEC
9/9/19,Hang Seng (China A) Corporate Sustainability Benchmark Index,Inclusion,600808,600808.SH,MAS C.L.
9/9/19,Hang Seng (China A) Corporate Sustainability Benchmark Index,Inclusion,600860,600860.SH,JINGCHENG MAC
9/9/19,Hang Seng (China A) Corporate Sustainability Benchmark Index,Inclusion,600871,600871.SH,SSC
9/9/19,Hang Seng (China A) Corporate Sustainability Benchmark Index,Inclusion,600874,600874.SH,TCEPC
9/9/19,Hang Seng (China A) Corporate Sustainability Benchmark Index,Inclusion,600875,600875.SH,DEC
9/9/19,Hang Seng (China A) Corporate Sustainability Benchmark Index,Inclusion,600958,600958.SH,ORIENT SECURITIES
9/9/19,Hang Seng (China A) Corporate Sustainability Benchmark Index,Inclusion,601012,601012.SH,LONGI
9/9/19,Hang Seng (China A) Corporate Sustainability Benchmark Index,Inclusion,601066,601066.SH,CHINA SECURITIES
9/9/19,Hang Seng (China A) Corporate Sustainability Benchmark Index,Inclusion,601088,601088.SH,CHINA SHENHUA
9/9/19,Hang Seng (China A) Corporate Sustainability Benchmark Index,Inclusion,601138,601138.SH,FOXCONN INDUSTRIAL
9/9/19,Hang Seng (China A) Corporate Sustainability Benchmark Index,Inclusion,601166,601166.SH,INDUSTRIAL BANK
9/9/19,Hang Seng (China A) Corporate Sustainability Benchmark Index,Inclusion,601186,601186.SH,CRCC
9/9/19,Hang Seng (China A) Corporate Sustainability Benchmark Index,Inclusion,601200,601200.SH,SHANGHAI ENVIRONMENT
9/9/19,Hang Seng (China A) Corporate Sustainability Benchmark Index,Inclusion,601211,601211.SH,GTJA
9/9/19,Hang Seng (China A) Corporate Sustainability Benchmark Index,Inclusion,601231,601231.SH,USISH
9/9/19,Hang Seng (China A) Corporate Sustainability Benchmark Index,Inclusion,601326,601326.SH,QINHUANGDAO PORT
9/9/19,Hang Seng (China A) Corporate Sustainability Benchmark Index,Inclusion,601330,601330.SH,DYNAGREEN
9/9/19,Hang Seng (China A) Corporate Sustainability Benchmark Index,Inclusion,601600,601600.SH,CHALCO
9/9/19,Hang Seng (China A) Corporate Sustainability Benchmark Index,Inclusion,601607,601607.SH,SHANGHAI PHARMA
9/9/19,Hang Seng (China A) Corporate Sustainability Benchmark Index,Inclusion,601688,601688.SH,HTSC
9/9/19,Hang Seng (China A) Corporate Sustainability Benchmark Index,Inclusion,601717,601717.SH,ZMJ
9/9/19,Hang Seng (China A) Corporate Sustainability Benchmark Index,Inclusion,601788,601788.SH,EBSCN
9/9/19,Hang Seng (China A) Corporate Sustainability Benchmark Index,Inclusion,601811,601811.SH,XINHUA WINSHARE
9/9/19,Hang Seng (China A) Corporate Sustainability Benchmark Index,Inclusion,601818,601818.SH,CEB BANK
9/9/19,Hang Seng (China A) Corporate Sustainability Benchmark Index,Inclusion,601828,601828.SH,MACALLINE
9/9/19,Hang Seng (China A) Corporate Sustainability Benchmark Index,Inclusion,601866,601866.SH,COSCO SHIP DEV
9/9/19,Hang Seng (China A) Corporate Sustainability Benchmark Index,Inclusion,601881,601881.SH,CHINA GALAXY
9/9/19,Hang Seng (China A) Corporate Sustainability Benchmark Index,Inclusion,601888,601888.SH,CITS
9/9/19,Hang Seng (China A) Corporate Sustainability Benchmark Index,Inclusion,601899,601899.SH,ZIJIN MINING
9/9/19,Hang Seng (China A) Corporate Sustainability Benchmark Index,Inclusion,601939,601939.SH,CCB
9/9/19,Hang Seng (China A) Corporate Sustainability Benchmark Index,Inclusion,601992,601992.SH,BBMG
9/9/19,Hang Seng (China A) Corporate Sustainability Benchmark Index,Inclusion,603019,603019.SH,SUGON
9/9/19,Hang Seng (China A) Corporate Sustainability Benchmark Index,Inclusion,603337,603337.SH,JACK
9/9/19,Hang Seng (China A) Corporate Sustainability Benchmark Index,Inclusion,603588,603588.SH,BGE
9/9/19,Hang Seng (China A) Corporate Sustainability Benchmark Index,Inclusion,603595,603595.SH,TONY ELECTRONIC
9/9/19,Hang Seng (China A) Corporate Sustainability Benchmark Index,Inclusion,603659,603659.SH,PUTAILAI
9/9/19,Hang Seng (China A) Corporate Sustainability Benchmark Index,Inclusion,603680,603680.SH,KTK GROUP
9/9/19,Hang Seng (China A) Corporate Sustainability Benchmark Index,Inclusion,603737,603737.SH,SKSHU
9/9/19,Hang Seng (China A) Corporate Sustainability Benchmark Index,Inclusion,603773,603773.SH,WG TECH
9/9/19,Hang Seng (China A) Corporate Sustainability Benchmark Index,Inclusion,603993,603993.SH,CMOC
9/9/19,Hang Seng (China A) Corporate Sustainability Index,Exclusion,601328,601328.SH,"Bank of Communications Co., Ltd."
9/9/19,Hang Seng (China A) Corporate Sustainability Index,Exclusion,601398,601398.SH,Industrial and Commercial Bank of China Limited
9/9/19,Hang Seng (China A) Corporate Sustainability Index,Inclusion,000063,000063.SZ,ZTE Corporation
9/9/19,Hang Seng (China A) Corporate Sustainability Index,Inclusion,000100,000100.SZ,TCL Corporation
9/9/19,Hang Seng (China A) Corporate Sustainability Index,Inclusion,000825,000825.SZ,"Shanxi Taigang Stainless Steel Co., Ltd"
9/9/19,Hang Seng (China A) Corporate Sustainability Index,Inclusion,002202,002202.SZ,"Xinjiang Goldwind Science & Technology Co., Ltd"
9/9/19,Hang Seng (China A) Corporate Sustainability Index,Inclusion,002415,002415.SZ,"Hangzhou Hikvision Digital Technology Co., Ltd."
9/9/19,Hang Seng (China A) Corporate Sustainability Index,Inclusion,002916,002916.SZ,"Shennan Circuits Co., Ltd."
9/9/19,Hang Seng (China A) Corporate Sustainability Index,Inclusion,300750,300750.SZ,"Contemporary Amperex Technology Co., Limited"
9/9/19,Hang Seng (China A) Corporate Sustainability Index,Inclusion,600089,600089.SH,"TBEA Co., Ltd."
9/9/19,Hang Seng (China A) Corporate Sustainability Index,Inclusion,600115,600115.SH,China Eastern Airlines Corporation Limited
9/9/19,Hang Seng (China A) Corporate Sustainability Index,Inclusion,600377,600377.SH,Jiangsu Expressway Company Limited
9/9/19,Hang Seng (China A) Corporate Sustainability Index,Inclusion,600600,600600.SH,Tsingtao Brewery Company Limited
9/9/19,Hang Seng (China A) Corporate Sustainability Index,Inclusion,601138,601138.SH,"Foxconn Industrial Internet Co., Ltd."
9/9/19,Hang Seng (China A) Corporate Sustainability Index,Inclusion,601601,601601.SH,"China Pacific Insurance (Group) Co., Ltd."
9/9/19,Hang Seng (China A) Corporate Sustainability Index,Inclusion,601607,601607.SH,"Shanghai Pharmaceuticals Holding Co., Ltd"
9/9/19,Hang Seng (China A) Corporate Sustainability Index,Inclusion,601618,601618.SH,Metallurgical Corporation of China Ltd.
9/9/19,Hang Seng (China A) Corporate Sustainability Index,Inclusion,601808,601808.SH,China Oilfield Services Limited
9/9/19,Hang Seng (China A) Corporate Sustainability Index,Inclusion,601991,601991.SH,"Datang International Power Generation Co., Ltd."
9/9/19,Hang Seng China 50 Index,Exclusion,2611 / 601211,2611.HK / 601211.SH,"Guotai Junan Securities Co., Ltd."
9/9/19,Hang Seng China 50 Index,Exclusion,600018,600018.SH,"Shanghai International Port (Group) Co., Ltd"
9/9/19,Hang Seng China 50 Index,Inclusion,788,0788.HK,China Tower Corporation Ltd.
9/9/19,Hang Seng China 50 Index,Inclusion,1339 / 601319,1339.HK / 601319.SH,The People's Insurance Co. (Group) of China Ltd.
9/9/19,Hang Seng China A Industry Top Index,Exclusion,000063,000063.SZ,ZTE Corporation
9/9/19,Hang Seng China A Industry Top Index,Exclusion,002027,002027.SZ,"Focus Media Information Technology Co., Ltd."
9/9/19,Hang Seng China A Industry Top Index,Exclusion,600029,600029.SH,China Southern Airlines Company Limited
9/9/19,Hang Seng China A Industry Top Index,Exclusion,600115,600115.SH,China Eastern Airlines Corporation Limited
9/9/19,Hang Seng China A Industry Top Index,Exclusion,601018,601018.SH,Ningbo Zhoushan Port Company Limited
9/9/19,Hang Seng China A Industry Top Index,Exclusion,601600,601600.SH,Aluminum Corporation of China Limited
9/9/19,Hang Seng China A Industry Top Index,Inclusion,000338,000338.SZ,"Weichai Power Co., Ltd."
9/9/19,Hang Seng China A Industry Top Index,Inclusion,000538,000538.SZ,"Yunnan Baiyao Group Co., Ltd."
9/9/19,Hang Seng China A Industry Top Index,Inclusion,002304,002304.SZ,"Jiangsu Yanghe Brewery Joint-Stock Co., Ltd."
9/9/19,Hang Seng China A Industry Top Index,Inclusion,300498,300498.SZ,"Wens Foodstuff Group Co., Ltd."
9/9/19,Hang Seng China A Industry Top Index,Inclusion,300760,300760.SZ,"Shenzhen Mindray Bio-Medical Electronics Co., Ltd."
9/9/19,Hang Seng China A Industry Top Index,Inclusion,600196,600196.SH,"Shanghai Fosun Pharmaceutical (Group) Co., Ltd."
9/9/19,Hang Seng China A Industry Top Index,Inclusion,600276,600276.SH,"Jiangsu Hengrui Medicine Co., Ltd."
9/9/19,Hang Seng China A Industry Top Index,Inclusion,600887,600887.SH,"Inner Mongolia Yili Industrial Group Co., Ltd."
9/9/19,Hang Seng China A Industry Top Index,Inclusion,601360,601360.SH,360 Security Technology Inc.
9/9/19,Hang Seng China A Industry Top Index,Inclusion,601607,601607.SH,"Shanghai Pharmaceuticals Holding Co., Ltd"
9/9/19,Hang Seng China A Industry Top Index,Inclusion,603993,603993.SH,"China Molybdenum Co., Ltd."
9/9/19,Hang Seng China A Top 100 Index,Exclusion,000063,000063.SZ,ZTE Corporation
9/9/19,Hang Seng China A Top 100 Index,Exclusion,000625,000625.SZ,Chongqing Changan Automobile Company Limited
9/9/19,Hang Seng China A Top 100 Index,Exclusion,600068,600068.SH,China Gezhouba Group Company Limited
