date,index,change_type,ticker,ticker_normalized,company,source_row_id,change_type_raw,index_raw,index_normalization_status,symbol_rank_within_row,is_primary_symbol,symbol_token_raw,ticker_yf_normalized,ticker_parse_status,ticker_yf,event_anchor_date,close_at_event_anchor,ret_5d_pre,ret_20d_pre,ret_60d_pre,dist_from_60d_high,dist_from_252d_high,volume_at_event_anchor,dollar_volume_at_event_anchor,avg_volume_20d_pre,avg_volume_60d_pre,avg_dollar_volume_20d_pre,avg_dollar_volume_60d_pre,realized_vol_20d_pre,realized_vol_60d_pre,shares_source,market_cap_available,market_cap_is_approx,turnover_available,market_cap_approx,share_turnover_at_event_anchor
2016-03-14,Hang Seng China AH Index Series,Inclusion,317 / 600685,0317.HK / 600685.SH,CSSC Offshore & Marine Engineering (Group) Co.,6,Inclusion,Hang Seng China AH Index Series,unchanged,1,1,0317.HK,0317.HK,parse_ok,0317.HK,2016-03-11,12.0600004196167,-0.03519996643066403,0.264150992436083,-0.24246228883032928,-0.23086733514693636,-0.6919540242764791,1072264.0,12931504.28993988,1767271.05,1543573.5833333333,20429348.80884118,18784804.61091663,0.03944061349365435,0.037007399504812875,yfinance_info_static_sharesOutstanding,1,1,1,7140378884.262961,0.0018110389517901173
2016-03-14,Hang Seng China AH Index Series,Inclusion,317 / 600685,0317.HK / 600685.SH,CSSC Offshore & Marine Engineering (Group) Co.,6,Inclusion,Hang Seng China AH Index Series,unchanged,2,0,600685.SH,600685.SS,parse_ok,600685.SS,2016-03-11,25.65999984741211,-0.08324401367485168,0.0046984701481278535,-0.2714367132864103,-0.380342913741505,-0.6623239825139373,3147695.0,80769853.21969986,5668281.2,5661083.733333333,155820811.44604367,179725241.8275674,0.048357562783543265,0.04703268133771342,yfinance_info_static_sharesOutstanding,1,1,1,21078026619.11894,0.0038319456882380597
2016-03-14,Hang Seng Composite LargeCap & MidCap Index,Exclusion,829,0829.HK,Shenguan Holdings (Group) Ltd.,8,Exclusion,Hang Seng Composite LargeCap & MidCap Index,unchanged,1,1,0829.HK,0829.HK,parse_ok,0829.HK,2016-03-11,0.8299999833106995,-0.011904750923180218,0.05063286172982795,-0.16161618655025423,-0.2654867373335118,-0.7077464759172463,6080000.0,5046399.898529053,7438506.05,5921158.783333333,6139325.755839852,5379394.722156243,0.020247978541492427,0.026559231926662683,yfinance_info_static_sharesOutstanding,1,1,1,2681298346.0855484,0.001882073252272108
2016-03-14,Hang Seng Composite LargeCap & MidCap Index,Exclusion,1157,1157.HK,"Zoomlion Heavy Industry Science and Technology Co., Ltd-H Sh",9,Exclusion,Hang Seng Composite LargeCap & MidCap Index,unchanged,1,1,1157.HK,1157.HK,parse_ok,1157.HK,2016-03-11,3.069999933242798,0.14126389142719487,0.5349999666213989,0.06968643054309931,0.0,-0.5411061424537099,20245706.0,62154316.06845331,16411123.8,9701320.35,40062927.40001978,23602087.54154046,0.03749794183497996,0.034822901041479275,yfinance_info_static_sharesOutstanding,1,1,1,4766198068.71894,0.013040648997862392
2016-03-14,Hang Seng Composite LargeCap & MidCap Index,Exclusion,1528,1528.HK,Red Star Macalline Group Corporation Ltd. - H Shares,10,Exclusion,Hang Seng Composite LargeCap & MidCap Index,unchanged,1,1,1528.HK,1528.HK,parse_ok,1528.HK,2016-03-11,6.218181133270264,-0.021459283183282052,0.14190313526028375,-0.27078894989908286,-0.3187250943980955,-0.46562503098976027,1438562.0,8945239.087439537,2169988.35,1284185.7833333334,13413470.330186654,8668839.566451557,0.028574342091396268,0.027868718556658515,yfinance_info_static_sharesOutstanding,1,1,1,4609448343.703086,0.0019406311602687824
2016-03-14,Hang Seng Composite LargeCap & MidCap Index,Inclusion,10,0010.HK,Hang Lung Group Ltd.,12,Inclusion,Hang Seng Composite LargeCap & MidCap Index,unchanged,1,1,0010.HK,0010.HK,parse_ok,0010.HK,2016-03-11,21.850000381469727,0.006912424574032849,0.10020139526485838,-0.12072434422323208,-0.14648437281721272,-0.4728588666033062,1150409.0,25136437.088846207,1857962.7,1546239.9333333333,38825221.44196634,33336634.279742207,0.0142217702039859,0.017647839877879993,yfinance_info_static_sharesOutstanding,1,1,1,29751359107.11614,0.0008448836571917785
2016-03-14,Hang Seng Composite LargeCap & MidCap Index,Inclusion,136,0136.HK,HengTen Networks Group Ltd.,14,Inclusion,Hang Seng Composite LargeCap & MidCap Index,unchanged,1,1,0136.HK,0136.HK,parse_ok,0136.HK,2016-03-11,4.300000190734863,-0.033707780889780325,0.11688319409068693,-0.21818178350275208,-0.2586206811503482,-0.5699999809265137,4719200.0,20292560.900115967,4868818.85,4357269.55,20630051.032569148,20196130.48214972,0.039354124968049256,0.039995383043598544,yfinance_info_static_sharesOutstanding,1,1,1,72242646048.96294,0.00028089448559736517
2016-03-14,Hang Seng Composite LargeCap & MidCap Index,Inclusion,400,0400.HK,Cogobuy Group,15,Inclusion,Hang Seng Composite LargeCap & MidCap Index,unchanged,1,1,0400.HK,0400.HK,parse_ok,0400.HK,2016-03-11,8.9399995803833,-0.013245125129748625,0.11194025159209642,-0.020810573020376366,-0.1737523260134861,-0.45153374240307687,2640000.0,23601598.892211914,2925000.0,3338886.7666666666,26022215.607452393,30452440.76845363,0.031865960305324986,0.03442336371910442,yfinance_info_static_sharesOutstanding,1,1,1,14491668523.944653,0.0016286322622695157
2016-03-14,Hang Seng Composite LargeCap & MidCap Index,Inclusion,405,0405.HK,Yuexiu Real Estate Investment Trust,16,Inclusion,Hang Seng Composite LargeCap & MidCap Index,unchanged,1,1,0405.HK,0405.HK,parse_ok,0405.HK,2016-03-11,4.083246231079102,-0.007211615102434177,0.07832907115380072,0.0,-0.007211615102434177,-0.09628000162102468,5903226.0,24104325.31570816,3380451.55,3082297.7666666666,13608449.297748636,12247489.838306444,0.006108676441820596,0.007967558011690348,yfinance_info_static_sharesOutstanding,1,1,1,21473665744.686714,0.001122506310859959
2016-03-14,Hang Seng Composite LargeCap & MidCap Index,Inclusion,607,0607.HK,Fullshare Holdings Ltd.,17,Inclusion,Hang Seng Composite LargeCap & MidCap Index,unchanged,1,1,0607.HK,0607.HK,parse_ok,0607.HK,2016-03-11,99.5,-0.05238095238095242,0.0934065934065933,0.041884816753926746,-0.06572769953051638,-0.06572769953051638,421422.0,41931489.0,405752.05,408513.93333333335,40465809.1,39299858.56666667,0.017068740370617754,0.020817836546512595,yfinance_info_static_sharesOutstanding,1,1,1,63358011433.0,0.0006618182618364186
2016-03-14,Hang Seng Composite LargeCap & MidCap Index,Inclusion,715,0715.HK,China Oceanwide Holdings Ltd.,18,Inclusion,Hang Seng Composite LargeCap & MidCap Index,unchanged,1,1,0715.HK,0715.HK,parse_ok,0715.HK,2016-03-11,0.8999999761581421,0.01123594452133525,0.07142857649699375,-0.11764706569834438,-0.14285712663819117,-0.47368423621006484,10946986.0,9852287.139003515,6533544.3,4440707.133333334,5685072.315193665,3931963.0333973817,0.020592887441409406,0.022080317815608017,yfinance_info_static_sharesOutstanding,1,1,1,14528429183.128052,0.0006781384976185197
2016-03-14,Hang Seng Composite LargeCap & MidCap Index,Inclusion,911,0911.HK,Hang Fat Ginseng Holdings Co. Ltd.,19,Inclusion,Hang Seng Composite LargeCap & MidCap Index,unchanged,1,1,0911.HK,0911.HK,parse_ok,0911.HK,2016-03-11,16.0,-0.25925927234121127,-0.4594594664256706,-0.935483870967742,-0.9428571428571428,-0.9583333333333334,2458175.0,39330800.0,3278005.4,2096969.9833333334,70022853.64081697,68673010.42447951,0.11929274010610032,0.33865208112209133,yfinance_info_static_sharesOutstanding,1,1,1,2711120000.0,0.014507214730443507
2016-03-14,Hang Seng Composite LargeCap & MidCap Index,Inclusion,1071,1071.HK,Huadian Power International Corporation Ltd. - H Shares,21,Inclusion,Hang Seng Composite LargeCap & MidCap Index,unchanged,1,1,1071.HK,1071.HK,parse_ok,1071.HK,2016-03-11,4.650000095367432,-0.01691330304090044,0.12590798220762434,-0.01691330304090044,-0.11089864657568471,-0.5201238083868426,6766722.0,31465257.945324898,7767225.85,8331973.4,34947271.51284464,38769094.13655179,0.026200084888624662,0.029303721595987972,yfinance_info_static_sharesOutstanding,1,1,1,7985136403.768158,0.003940478453251788
2016-03-14,Hang Seng Composite LargeCap & MidCap Index,Inclusion,1282,1282.HK,China Goldjoy Group Ltd.,22,Inclusion,Hang Seng Composite LargeCap & MidCap Index,unchanged,1,1,1282.HK,1282.HK,parse_ok,1282.HK,2016-03-11,13.504110336303711,-0.027026978742661245,-0.06493498432058697,-0.3739130427093059,-0.4098360396104308,-0.5909090961618955,890182.0,12021115.94739151,555291.8,805754.5333333333,7709813.105442715,14620277.030703973,0.02406598566052225,0.04258341061677176,yfinance_info_static_sharesOutstanding,1,1,1,67520551681.518555,0.0001780364
