change_type,n_events,mean_ret_20d_pre,median_ret_20d_pre,mean_avg_dollar_volume_20d_pre,median_avg_dollar_volume_20d_pre,mean_realized_vol_20d_pre,median_realized_vol_20d_pre,mean_post_t1_t20,median_post_t1_t20,mean_post_t1_t60,median_post_t1_t60
Exclusion,290,0.01727143833885982,0.0017515818149128615,258893208.43850008,102087729.91274697,0.020496974388423145,0.01840894297307119,0.0005700593630008219,-0.012965282759009211,-0.002365269821295996,-0.013597360932000757
Inclusion,1031,0.044845448720788696,0.025328987523129065,534770646.50243866,131805016.8139824,0.029375983701463663,0.02490146054006541,0.009321167228568978,-0.009009000623754537,0.011022800711125803,-0.009759271501515454
Removal,472,0.010970560899335575,0.0,213225411.6521351,56227744.71231292,0.03004917380791481,0.024697646319493432,0.029649186117815442,-0.014736030266168432,0.05910793251830187,-0.005563276986744747
