证券代码,中文简称,英文简称,code_num,ticker_yf
772,阅文集团,CHINA LIT,772,0772.HK
780,同程旅行,TONGCHENGTRAVEL,780,0780.HK
788,中国铁塔,CHINA TOWER,788,0788.HK
811,新华文轩,XINHUA WINSHARE,811,0811.HK
817,中国金茂,CHINA JINMAO,817,0817.HK
819,天能动力,TIANNENG POWER,819,0819.HK
826,天工国际,TIANGONG INT'L,826,0826.HK
836,华润电力,CHINA RES POWER,836,0836.HK
839,中教控股,CHINA EDU GROUP,839,0839.HK
853,微创医疗,MICROPORT,853,0853.HK
855,中国水务,CHINA WATER,855,0855.HK
856,伟仕佳杰,VSTECS,856,0856.HK
857,中国石油股份,PETROCHINA,857,0857.HK
867,康哲药业,CMS,867,0867.HK
868,信义玻璃,XINYI GLASS,868,0868.HK
874,白云山,BAIYUNSHAN PH,874,0874.HK
880,澳博控股,SJM HOLDINGS,880,0880.HK
881,中升控股,ZHONGSHENG HLDG,881,0881.HK
883,中国海洋石油,CNOOC,883,0883.HK
895,东江环保,DONGJIANG ENV,895,0895.HK
902,华能国际电力股份,HUANENG POWER,902,0902.HK
909,明源云,MING YUAN CLOUD,909,0909.HK
914,海螺水泥,CONCH CEMENT,914,0914.HK
916,龙源电力,CHINA LONGYUAN,916,0916.HK
917,趣致集团,QUNABOX GROUP,917,0917.HK
921,海信家电,HISENSE HA,921,0921.HK
934,中石化冠德,SINOPEC KANTONS,934,0934.HK
939,建设银行,CCB,939,0939.HK
941,中国移动,CHINA MOBILE,941,0941.HK
956,新天绿色能源,CHINA SUNTIEN,956,0956.HK
960,龙湖集团,LONGFOR GROUP,960,0960.HK
966,中国太平,CHINA TAIPING,966,0966.HK
968,信义光能,XINYI SOLAR,968,0968.HK
975,,MONGOL MINING,975,0975.HK
981,中芯国际,SMIC,981,0981.HK
990,至源控股,DEEP SOURCE,990,0990.HK
991,大唐发电,DATANG POWER,991,0991.HK
992,联想集团,LENOVO GROUP,992,0992.HK
995,安徽皖通高速公路,ANHUIEXPRESSWAY,995,0995.HK
998,中信银行,CITIC BANK,998,0998.HK
999,小菜园,XIAOCAIYUAN,999,0999.HK
1024,快手－Ｗ,KUAISHOU-W,1024,1024.HK
1030,新城发展,SEAZEN,1030,1030.HK
1033,中石化油服,SINOPEC SSC,1033,1033.HK
1038,长江基建集团,CKI HOLDINGS,1038,1038.HK
1044,恒安国际,HENGAN INT'L,1044,1044.HK
1052,越秀交通基建,YUEXIUTRANSPORT,1052,1052.HK
1053,重庆钢铁股份,CHONGQING IRON,1053,1053.HK
1055,中国南方航空股份,CHINA SOUTH AIR,1055,1055.HK
1057,浙江世宝,ZHEJIANG SHIBAO,1057,1057.HK
1060,大麦娱乐,DAMAI ENT,1060,1060.HK
1065,天津创业环保股份,TIANJIN CAPITAL,1065,1065.HK
1066,威高股份,WEIGAO GROUP,1066,1066.HK
1070,ＴＣＬ电子,TCL ELECTRONICS,1070,1070.HK
1071,华电国际电力股份,HUADIAN POWER,1071,1071.HK
1072,东方电气,DONGFANG ELEC,1072,1072.HK
1083,港华智慧能源,TG SMART ENERGY,1083,1083.HK
1088,中国神华,CHINA SHENHUA,1088,1088.HK
1093,石药集团,CSPC PHARMA,1093,1093.HK
1099,国药控股,SINOPHARM,1099,1099.HK
1108,凯盛新能,TRIUMPH NEW EN,1108,1108.HK
1109,华润置地,CHINA RES LAND,1109,1109.HK
1112,Ｈ＆Ｈ国际控股,H&H INTL HLDG,1112,1112.HK
1113,长实集团,CK ASSET,1113,1113.HK
1114,,BRILLIANCE CHI,1114,1114.HK
1117,现代牧业,CH MODERN D,1117,1117.HK
1128,永利澳门,WYNN MACAU,1128,1128.HK
