ticker_yf,n_events,fundamentals_coverage,median_staleness_days
6698.HK,1,0.0,
6699.HK,1,0.0,
6806.HK,2,0.0,
6818.HK,3,0.0,
6823.HK,1,0.0,
6828.HK,1,0.0,
6837.HK,2,0.0,
6855.HK,2,0.0,
6862.HK,5,0.0,
6865.HK,2,0.0,
6869.HK,2,0.0,
6878.HK,1,0.0,
688036.SS,1,0.0,
6881.HK,2,0.0,
688114.SS,1,0.0,
688177.SS,1,0.0,
688318.SS,1,0.0,
688343.SS,1,0.0,
688361.SS,1,0.0,
688525.SS,1,0.0,
6886.HK,1,0.0,
6889.HK,3,0.0,
6666.HK,6,0.0,
6660.HK,2,0.0,
6639.HK,1,0.0,
6618.HK,1,0.0,
603898.SS,1,0.0,
603983.SS,1,0.0,
603993.SS,5,0.0,
6049.HK,2,0.0,
6055.HK,2,0.0,
6060.HK,4,0.0,
6066.HK,1,0.0,
6069.HK,1,0.0,
6078.HK,1,0.0,
6086.HK,2,0.0,
6088.HK,2,0.0,
6098.HK,5,0.0,
688981.SS,1,0.0,
6099.HK,5,0.0,
6110.HK,1,0.0,
6158.HK,1,0.0,
6166.HK,1,0.0,
6178.HK,3,0.0,
6181.HK,1,0.0,
6185.HK,3,0.0,
6186.HK,2,0.0,
6600.HK,2,0.0,
6601.HK,1,0.0,
6606.HK,1,0.0,
6608.HK,1,0.0,
6610.HK,1,0.0,
6100.HK,3,0.0,
6929.HK,2,0.0,
6963.HK,2,0.0,
6969.HK,2,0.0,
9886.HK,2,0.0,
9888.HK,1,0.0,
9890.HK,2,0.0,
9899.HK,1,0.0,
9909.HK,1,0.0,
9922.HK,2,0.0,
9923.HK,2,0.0,
9926.HK,3,0.0,
9928.HK,1,0.0,
9930.HK,1,0.0,
9939.HK,2,0.0,
9955.HK,2,0.0,
9885.HK,2,0.0,
9959.HK,2,0.0,
9966.HK,3,0.0,
9968.HK,1,0.0,
9969.HK,1,0.0,
9983.HK,1,0.0,
9985.HK,2,0.0,
9988.HK,3,0.0,
9990.HK,3,0.0,
9991.HK,1,0.0,
9992.HK,1,0.0,
9993.HK,1,0.0,
9995.HK,3,0.0,
9996.HK,2,0.0,
9961.HK,2,0.0,
603773.SS,1,0.0,
9880.HK,2,0.0,
9869.HK,3,0.0,
6988.HK,1,0.0,
6989.HK,1,0.0,
6990.HK,2,0.0,
6993.HK,2,0.0,
6996.HK,1,0.0,
6998.HK,1,0.0,
87001.HK,1,0.0,
88187.HK,1,0.0,
88707.HK,1,0.0,
9618.HK,3,0.0,
9626.HK,2,0.0,
9633.HK,2,0.0,
9877.HK,1,0.0,
9638.HK,2,0.0,
9666.HK,1,0.0,
9668.HK,3,0.0,
9669.HK,1,0.0,
9676.HK,1,0.0,
9688.HK,1,0.0,
9690.HK,1,0.0,
9698.HK,3,0.0,
9699.HK,1,0.0,
9857.HK,1,0.0,
9858.HK,1,0.0,
9863.HK,2,0.0,
9866.HK,2,0.0,
9660.HK,3,0.0,
600332.SS,1,0.0,
603737.SS,1,0.0,
603659.SS,1,0.0,
600860.SS,1,0.0,
600871.SS,2,0.0,
600874.SS,3,0.0,
600875.SS,3,0.0,
600886.SS,1,0.0,
600905.SS,1,0.0,
600919.SS,1,0.0,
600938.SS,1,0.0,
600958.SS,10,0.0,
600999.SS,3,0.0,
601006.SS,2,0.0,
601009.SS,1,0.0,
601012.SS,4,0.0,
601018.SS,4,0.0,
601066.SS,3,0.0,
601088.SS,3,0.0,
601111.SS,2,0.0,
601117.SS,1,0.0,
601138.SS,5,0.0,
601155.SS,1,0.0,
601166.SS,2,0.0,
601186.SS,5,0.0,
601200.SS,1,0.0,
601225.SS,4,0.0,
601229.SS,3,0.0,
600837.SS,2,0.0,
600808.SS,2,0.0,
600795.SS,2,0.0,
600775.SS,1,0.0,
600340.SS,1,0.0,
600346.SS,3,0.0,
600362.SS,2,0.0,
600377.SS,4,0.0,
600380.SS,1,0.0,
600383.SS,1,0.0,
600438.SS,1,0.0,
600499.SS,1,0.0,
600525.SS,1,0.0,
600547.SS,4,0.0,
600548.SS,3,0.0,
600565.SS,1,0.0,
601231.SS,2,0.0,
600580.SS,1,0.0,
600585.SS,1,0.0,
600588.SS,2,0.0,
600600.SS,7,0.0,
600606.SS,5,0.0,
600637.SS,2,0.0,
600648.SS,1,0.0,
600685.SS,2,0.0,
600688.SS,4,0.0,
600690.SS,2,0.0,
600703.SS,1,0.0,
600704.SS,2,0.0,
600750.SS,1,0.0,
600583.SS,1,0.0,
601238.SS,4,0.0,
601288.SS,1,0.0,
601318.SS,2,0.0,
601857.SS,1,0.0,
601865.SS,1,0.0,
601866.SS,2,0.0,
601869.SS,1,0.0,
601877.SS,2,0.0,
601881.SS,4,0.0,
601888.SS,4,0.0,
601898.SS,4,0.0,
601899.SS,3,0.0,
601916.SS,1,0.0,
601919.SS,3,0.0,
601939.SS,3,0.0,
601828.SS,4,0.0,
601985.SS,2,0.0,
601989.SS,2,0.0,
601991.SS,7,0.0,
601992.SS,2,0.0,
601998.SS,1,0.0,
6030.HK,1,0.0,
603019.SS,3,0.0,
603259.SS,2,0.0,
603288.SS,3,0.0,
603337.SS,1,0.0,
603501.SS,2,0.0,
603588.SS,1,0.0,
603595.SS,1,0.0,
601988.SS,1,0.0,
603680.SS,1,0.0,
601818.SS,2,0.0,
601811.SS,1,0.0,
601319.SS,4,0.0,
601326.SS,1,0.0,
601328.SS,1,0.0,
601330.SS,1,0.0,
601333.SS,1,0.0,
601336.SS,3,0.0,
601360.SS,4,0.0,
601390.SS,1,0.0,
601398.SS,1,0.0,
601598.SS,1,0.0,
601600.SS,5,0.0,
601601.SS,3,0.0,
601816.SS,4,0.0,
601607.SS,6,0.0,
601628.SS,2,0.0,
601633.SS,3,0.0,
601658.SS,1,0.0,
601668.SS,1,0.0,
601688.SS,1,0.0,
601698.SS,1,0.0,
601717.SS,1,0.0,
601727.SS,6,0.0,
601766.SS,1,0.0,
601788.SS,4,0.0,
601800.SS,1,0.0,
601808.SS,8,0.0,
601618.SS,4,0.0,
1981.HK,1,0.0,
2018.HK,4,0.0,
1970.HK,3,0.0,
0297.HK,2,0.0,
0302.HK,2,0.0,
0308.HK,2,0.0,
0314.HK,2,0.0,
0315.HK,3,0.0,
0316.HK,5,0.0,
0317.HK,5,0.0,
0321.HK,1,0.0,
0322.HK,2,0.0,
0323.HK,4,0.0,
0325.HK,1,0.0,
0327.HK,1,0.0,
0293.HK,2,0.0,
0330.HK,2,0.0,
0336.HK,1,0.0,
0345.HK,6,0.0,
0347.HK,4,0.0,
0363.HK,1,0.0,
0380.HK,1,0.0,
0384.HK,6,0.0,
0390.HK,4,0.0,
0400.HK,3,0.0,
0405.HK,2,0.0,
0410.HK,1,0.0,
0412.HK,3,0.0,
0439.HK,2,0.0,
0333.HK,1,0.0,
0440.HK,1,0.0,
0291.HK,4,0.0,
0285.HK,1,0.0,
0127.HK,2,0.0,
0135.HK,1,0.0,
0136.HK,4,0.0,
0142.HK,1,0.0,
0144.HK,3,0.0,
0148.HK,2,0.0,
0151.HK,3,0.0,
0163.HK,2,0.0,
0165.HK,1,0.0,
0168.HK,4,0.0,
0173.HK,2,0.0,
0175.HK,5,0.0,
0288.HK,5,0.0,
0177.HK,1,0.0,
0179.HK,1,0.0,
0200.HK,2,0.0,
0207.HK,1,0.0,
0215.HK,3,0.0,
0241.HK,4,0.0,
0242.HK,1,0.0,
0245.HK,2,0.0,
0257.HK,2,0.0,
0267.HK,3,0.0,
0268.HK,1,0.0,
0270.HK,2,0.0,
0283.HK,1,0.0,
0178.HK,2,0.0,
0451.HK,1,0.0,
0460.HK,1,0.0,
0467.HK,2,0.0,
0655.HK,1,0.0,
0656.HK,5,0.0,
0658.HK,1,0.0,
0659.HK,5,0.0,
0666.HK,1,0.0,
0667.HK,1,0.0,
0669.HK,2,0.0,
0670.HK,1,0.0,
0680.HK,2,0.0,
0683.HK,4,0.0,
0686.HK,1,0.0,
0687.HK,1,0.0,
0650.HK,1,0.0,
0688.HK,3,0.0,
0696.HK,1,0.0,
0697.HK,3,0.0,
0698.HK,3,0.0,
0699.HK,2,0.0,
0700.HK,3,0.0,
0709.HK,1,0.0,
1980.HK,1,0.0,
0728.HK,2,0.0,
0732.HK,3,0.0,
0737.HK,2,0.0,
0743.HK,1,0.0,
0751.HK,2,0.0,
0691.HK,2,0.0,
0639.HK,1,0.0,
0612.HK,1,0.0,
0607.HK,2,0.0,
0468.HK,1,0.0,
0480.HK,2,0.0,
0486.HK,1,0.0,
0489.HK,2,0.0,
0494.HK,2,0.0,
0496.HK,1,0.0,
0506.HK,1,0.0,
0508.HK,1,0.0,
0511.HK,3,0.0,
0512.HK,3,0.0,
0517.HK,2,0.0,
0520.HK,1,0.0,
0525.HK,2,0.0,
0530.HK,1,0.0,
0548.HK,4,0.0,
0551.HK,1,0.0,
0552.HK,1,0.0,
0558.HK,1,0.0,
0563.HK,1,0.0,
0567.HK,1,0.0,
0579.HK,1,0.0,
0581.HK,1,0.0,
0582.HK,3,0.0,
0586.HK,3,0.0,
0588.HK,1,0.0,
0598.HK,3,0.0,
0606.HK,1,0.0,
0124.HK,1,0.0,
0753.HK,1,0.0,
0123.HK,3,0.0,
0116.HK,1,0.0,
000555.SZ,1,0.0,
000625.SZ,1,0.0,
000725.SZ,1,0.0,
000776.SZ,3,0.0,
0008.HK,4,0.0,
000825.SZ,4,0.0,
000839.SZ,1,0.0,
000858.SZ,2,0.0,
000876.SZ,1,0.0,
000893.SZ,2,0.0,
000898.SZ,1,0.0,
000921.SZ,3,0.0,
000546.SZ,1,0.0,
000967.SZ,1,0.0,
0010.HK,5,0.0,
0013.HK,2,0.0,
001323.SZ,1,0.0,
0014.HK,2,0.0,
0016.HK,1,0.0,
0017.HK,2,0.0,
0019.HK,2,0.0,
001979.SZ,3,0.0,
0020.HK,5,0.0,
002016.SZ,1,0.0,
002024.SZ,2,0.0,
002027.SZ,2,0.0,
000997.SZ,1,0.0,
002047.SZ,1,0.0,
000540.SZ,1,0.0,
000538.SZ,1,0.0,
000002.SZ,1,0.0,
000008.SZ,1,0.0,
000009.SZ,1,0.0,
000021.SZ,1,0.0,
000025.SZ,1,0.0,
000035.SZ,1,0.0,
000036.SZ,1,0.0,
000039.SZ,5,0.0,
000046.SZ,1,0.0,
000050.SZ,1,0.0,
000060.SZ,1,0.0,
000063.SZ,12,0.0,
000539.SZ,1,0.0,
000066.SZ,1,0.0,
000070.SZ,1,0.0,
000078.SZ,1,0.0,
000100.SZ,2,0.0,
000157.SZ,3,0.0,
000166.SZ,2,0.0,
0002.HK,1,0.0,
000333.SZ,2,0.0,
000338.SZ,2,0.0,
0004.HK,1,0.0,
000488.SZ,2,0.0,
000513.SZ,2,0.0,
000528.SZ,1,0.0,
000069.SZ,1,0.0,
002078.SZ,1,0.0,
002163.SZ,2,0.0,
002168.SZ,1,0.0,
002815.SZ,2,0.0,
002850.SZ,1,0.0,
0029.HK,1,0.0,
002916.SZ,3,0.0,
002967.SZ,2,0.0,
003012.SZ,1,0.0,
0035.HK,2,0.0,
003816.SZ,2,0.0,
0041.HK,7,0.0,
0043.HK,3,0.0,
0045.HK,4,0.0,
0048.HK,1,0.0,
002791.SZ,1,0.0,
0052.HK,2,0.0,
0059.HK,1,0.0,
0066.HK,4,0.0,
0069.HK,6,0.0,
0078.HK,2,0.0,
0081.HK,1,0.0,
0083.HK,1,0.0,
0086.HK,1,0.0,
0087.HK,3,0.0,
0095.HK,1,0.0,
0104.HK,1,0.0,
0109.HK,2,0.0,
0115.HK,1,0.0,
0054.HK,4,0.0,
002736.SZ,1,0.0,
002717.SZ,1,0.0,
002714.SZ,2,0.0,
002179.SZ,2,0.0,
002191.SZ,1,0.0,
002202.SZ,2,0.0,
002240.SZ,1,0.0,
002241.SZ,3,0.0,
002243.SZ,1,0.0,
002249.SZ,1,0.0,
002292.SZ,1,0.0,
0023.HK,1,0.0,
002303.SZ,1,0.0,
002304.SZ,2,0.0,
002351.SZ,1,0.0,
002352.SZ,3,0.0,
002407.SZ,1,0.0,
002415.SZ,3,0.0,
002421.SZ,1,0.0,
002429.SZ,1,0.0,
002460.SZ,3,0.0,
002475.SZ,4,0.0,
002482.SZ,1,0.0,
002493.SZ,2,0.0,
002503.SZ,1,0.0,
002594.SZ,3,0.0,
002600.SZ,1,0.0,
002601.SZ,2,0.0,
002611.SZ,1,0.0,
002670.SZ,1,0.0,
0120.HK,3,0.0,
0754.HK,2,0.0,
0715.HK,2,0.0,
0760.HK,1,0.0,
1475.HK,1,0.0,
1477.HK,1,0.0,
1478.HK,1,0.0,
1508.HK,2,0.0,
1513.HK,2,0.0,
1515.HK,2,0.0,
1516.HK,1,0.0,
1519.HK,3,0.0,
1521.HK,1,0.0,
1528.HK,5,0.0,
1541.HK,3,0.0,
1548.HK,1,0.0,
1558.HK,4,0.0,
1563.HK,1,0.0,
1569.HK,1,0.0,
1578.HK,1,0.0,
1579.HK,1,0.0,
1600.HK,1,0.0,
1618.HK,2,0.0,
1628.HK,1,0.0,
1638.HK,1,0.0,
1658.HK,4,0.0,
1666.HK,1,0.0,
1668.HK,2,0.0,
1675.HK,1,0.0,
1468.HK,1,0.0,
1458.HK,1,0.0,
1432.HK,2,0.0,
1415.HK,1,0.0,
1282.HK,3,0.0,
1286.HK,2,0.0,
1293.HK,2,0.0,
1299.HK,2,0.0,
1302.HK,1,0.0,
1308.HK,2,0.0,
1311.HK,1,0.0,
1315.HK,2,0.0,
0759.HK,1,0.0,
1318.HK,1,0.0,
1333.HK,2,0.0,
1336.HK,3,0.0,
1680.HK,2,0.0,
1337.HK,1,0.0,
1341.HK,1,0.0,
1347.HK,4,0.0,
1357.HK,1,0.0,
1359.HK,2,0.0,
1361.HK,1,0.0,
1363.HK,2,0.0,
1378.HK,4,0.0,
1381.HK,1,0.0,
1383.HK,2,0.0,
1387.HK,1,0.0,
1398.HK,1,0.0,
1405.HK,1,0.0,
1339.HK,6,0.0,
1277.HK,1,0.0,
1681.HK,1,0.0,
1691.HK,2,0.0,
1857.HK,1,0.0,
1865.HK,1,0.0,
1873.HK,1,0.0,
1876.HK,1,0.0,
1877.HK,2,0.0,
1880.HK,1,0.0,
1881.HK,2,0.0,
1890.HK,1,0.0,
1896.HK,2,0.0,
1905.HK,1,0.0,
1908.HK,1,0.0,
1910.HK,1,0.0,
1913.HK,1,0.0,
1916.HK,1,0.0,
1918.HK,1,0.0,
1919.HK,1,0.0,
1921.HK,1,0.0,
1929.HK,1,0.0,
1939.HK,1,0.0,
1942.HK,3,0.0,
1951.HK,1,0.0,
1952.HK,1,0.0,
1958.HK,1,0.0,
1963.HK,2,0.0,
1969.HK,1,0.0,
1855.HK,1,0.0,
1848.HK,1,0.0,
1836.HK,2,0.0,
1833.HK,2,0.0,
1709.HK,1,0.0,
1717.HK,1,0.0,
1728.HK,3,0.0,
1735.HK,2,0.0,
1755.HK,1,0.0,
1765.HK,1,0.0,
1766.HK,2,0.0,
1769.HK,1,0.0,
1772.HK,3,0.0,
1773.HK,2,0.0,
1776.HK,3,0.0,
1778.HK,1,0.0,
1686.HK,2,0.0,
1787.HK,1,0.0,
1789.HK,1,0.0,
1797.HK,2,0.0,
1799.HK,1,0.0,
1800.HK,2,0.0,
1801.HK,7,0.0,
1806.HK,1,0.0,
1810.HK,3,0.0,
1812.HK,2,0.0,
1816.HK,1,0.0,
1817.HK,2,0.0,
1821.HK,1,0.0,
1828.HK,1,0.0,
1788.HK,1,0.0,
1274.HK,1,0.0,
1316.HK,2,0.0,
1268.HK,4,0.0,
0909.HK,3,0.0,
0911.HK,2,0.0,
0914.HK,2,0.0,
0916.HK,1,0.0,
0917.HK,1,0.0,
0919.HK,1,0.0,
0921.HK,4,0.0,
0931.HK,2,0.0,
0933.HK,2,0.0,
0934.HK,1,0.0,
0939.HK,1,0.0,
0941.HK,3,0.0,
0906.HK,2,0.0,
0950.HK,1,0.0,
0958.HK,1,0.0,
0960.HK,4,0.0,
0966.HK,2,0.0,
0968.HK,4,0.0,
0973.HK,2,0.0,
0975.HK,1,0.0,
0978.HK,1,0.0,
0981.HK,3,0.0,
1269.HK,2,0.0,
0992.HK,2,0.0,
0996.HK,1,0.0,
0998.HK,3,0.0,
0951.HK,1,0.0,
0902.HK,2,0.0,
0895.HK,1,0.0,
0884.HK,5,0.0,
0762.HK,7,0.0,
0763.HK,2,0.0,
0772.HK,2,0.0,
0775.HK,1,0.0,
0777.HK,3,0.0,
0778.HK,1,0.0,
0780.HK,2,0.0,
0787.HK,2,0.0,
0788.HK,5,0.0,
0801.HK,1,0.0,
0806.HK,2,0.0,
0808.HK,2,0.0,
0813.HK,4,0.0,
0819.HK,1,0.0,
0825.HK,1,0.0,
0826.HK,1,0.0,
0829.HK,1,0.0,
0836.HK,2,0.0,
0839.HK,1,0.0,
0857.HK,3,0.0,
0860.HK,1,0.0,
0861.HK,1,0.0,
0868.HK,1,0.0,
0873.HK,1,0.0,
0874.HK,1,0.0,
0881.HK,5,0.0,
0883.HK,1,0.0,
0999.HK,2,0.0,
1030.HK,1,0.0,
0991.HK,5,0.0,
1131.HK,1,0.0,
1112.HK,2,0.0,
1113.HK,2,0.0,
1117.HK,1,0.0,
1119.HK,2,0.0,
1137.HK,1,0.0,
1138.HK,3,0.0,
1141.HK,3,0.0,
1157.HK,3,0.0,
1165.HK,1,0.0,
1167.HK,1,0.0,
1176.HK,1,0.0,
1177.HK,3,0.0,
1179.HK,1,0.0,
1186.HK,4,0.0,
1193.HK,2,0.0,
1199.HK,1,0.0,
1205.HK,2,0.0,
1208.HK,1,0.0,
1209.HK,3,0.0,
1212.HK,2,0.0,
1230.HK,1,0.0,
1233.HK,1,0.0,
1238.HK,1,0.0,
1244.HK,2,0.0,
1257.HK,1,0.0,
1111.HK,1,0.0,
1109.HK,7,0.0,
9999.HK,3,0.0,
1099.HK,2,0.0,
1031.HK,2,0.0,
1033.HK,1,0.0,
1038.HK,1,0.0,
1044.HK,3,0.0,
1052.HK,1,0.0,
1065.HK,2,0.0,
1070.HK,1,0.0,
1108.HK,1,0.0,
1072.HK,1,0.0,
1076.HK,1,0.0,
1086.HK,1,0.0,
1071.HK,4,0.0,
1093.HK,2,0.0,
1088.HK,4,0.0,
601211.SS,8,0.125,162.0
1211.HK,6,0.16666666666666666,70.0
0522.HK,4,0.25,71.0
600887.SS,4,0.25,71.0
002371.SZ,3,0.3333333333333333,71.0
600406.SS,3,0.3333333333333333,162.0
1024.HK,2,0.5,72.0
600025.SS,2,0.5,71.0
0338.HK,2,0.5,71.0
000568.SZ,2,0.5,162.0
3347.HK,2,0.5,71.0
1698.HK,2,0.5,71.0
6160.HK,2,0.5,71.0
9987.HK,3,0.6666666666666666,71.0
3759.HK,3,0.6666666666666666,71.5
2057.HK,3,0.6666666666666666,70.5
9901.HK,3,0.6666666666666666,9.5
6623.HK,1,1.0,71.0
2423.HK,1,1.0,70.0
9973.HK,1,1.0,71.0
300308.SZ,1,1.0,162.0
2506.HK,1,1.0,163.0
2410.HK,2,1.0,208.5
0300.HK,3,1.0,72.0
2533.HK,1,1.0,72.0
9898.HK,1,1.0,72.0
2525.HK,1,1.0,71.0
1364.HK,1,1.0,70.0
1385.HK,1,1.0,163.0
2390.HK,1,1.0,71.0
2097.HK,1,1.0,70.0
2580.HK,1,1.0,71.0
