announcement_date,ref_trading_day,cutoff_trading_days_before,asof_date,asof_calendar_ok,ticker_yf,y_review,in_eligible_universe,row_kind,y_review_code
2022-12-05,2022-12-05,5,2022-11-28,True,2155.HK,no_change,True,eligible_no_change,0
2022-12-05,2022-12-05,5,2022-11-28,True,2157.HK,no_change,True,eligible_no_change,0
2022-12-05,2022-12-05,5,2022-11-28,True,2158.HK,no_change,True,eligible_no_change,0
2022-12-05,2022-12-05,5,2022-11-28,True,2162.HK,no_change,True,eligible_no_change,0
2022-12-05,2022-12-05,5,2022-11-28,True,2171.HK,no_change,True,eligible_no_change,0
2022-12-05,2022-12-05,5,2022-11-28,True,2172.HK,no_change,True,eligible_no_change,0
2022-12-05,2022-12-05,5,2022-11-28,True,2186.HK,no_change,True,eligible_no_change,0
2022-12-05,2022-12-05,5,2022-11-28,True,2192.HK,no_change,True,eligible_no_change,0
2022-12-05,2022-12-05,5,2022-11-28,True,2196.HK,no_change,True,eligible_no_change,0
2022-12-05,2022-12-05,5,2022-11-28,True,2202.HK,no_change,True,eligible_no_change,0
2022-12-05,2022-12-05,5,2022-11-28,True,2208.HK,no_change,True,eligible_no_change,0
2022-12-05,2022-12-05,5,2022-11-28,True,2218.HK,no_change,True,eligible_no_change,0
2022-12-05,2022-12-05,5,2022-11-28,True,2228.HK,no_change,True,eligible_no_change,0
2022-12-05,2022-12-05,5,2022-11-28,True,2232.HK,no_change,True,eligible_no_change,0
2022-12-05,2022-12-05,5,2022-11-28,True,2233.HK,no_change,True,eligible_no_change,0
2022-12-05,2022-12-05,5,2022-11-28,True,2238.HK,no_change,True,eligible_no_change,0
2022-12-05,2022-12-05,5,2022-11-28,True,2252.HK,no_change,True,eligible_no_change,0
2022-12-05,2022-12-05,5,2022-11-28,True,2255.HK,no_change,True,eligible_no_change,0
2022-12-05,2022-12-05,5,2022-11-28,True,2259.HK,no_change,True,eligible_no_change,0
2022-12-05,2022-12-05,5,2022-11-28,True,2268.HK,no_change,True,eligible_no_change,0
2022-12-05,2022-12-05,5,2022-11-28,True,2269.HK,no_change,True,eligible_no_change,0
2022-12-05,2022-12-05,5,2022-11-28,True,2273.HK,no_change,True,eligible_no_change,0
2022-12-05,2022-12-05,5,2022-11-28,True,2276.HK,no_change,True,eligible_no_change,0
2022-12-05,2022-12-05,5,2022-11-28,True,2282.HK,no_change,True,eligible_no_change,0
2022-12-05,2022-12-05,5,2022-11-28,True,2285.HK,no_change,True,eligible_no_change,0
2022-12-05,2022-12-05,5,2022-11-28,True,2291.HK,no_change,True,eligible_no_change,0
2022-12-05,2022-12-05,5,2022-11-28,True,2313.HK,no_change,True,eligible_no_change,0
2022-12-05,2022-12-05,5,2022-11-28,True,2314.HK,no_change,True,eligible_no_change,0
2022-12-05,2022-12-05,5,2022-11-28,True,2315.HK,no_change,True,eligible_no_change,0
2022-12-05,2022-12-05,5,2022-11-28,True,2318.HK,no_change,True,eligible_no_change,0
2022-12-05,2022-12-05,5,2022-11-28,True,2319.HK,no_change,True,eligible_no_change,0
2022-12-05,2022-12-05,5,2022-11-28,True,2328.HK,no_change,True,eligible_no_change,0
2022-12-05,2022-12-05,5,2022-11-28,True,2331.HK,no_change,True,eligible_no_change,0
2022-12-05,2022-12-05,5,2022-11-28,True,2333.HK,no_change,True,eligible_no_change,0
2022-12-05,2022-12-05,5,2022-11-28,True,2338.HK,no_change,True,eligible_no_change,0
2022-12-05,2022-12-05,5,2022-11-28,True,2343.HK,no_change,True,eligible_no_change,0
2022-12-05,2022-12-05,5,2022-11-28,True,2356.HK,no_change,True,eligible_no_change,0
2022-12-05,2022-12-05,5,2022-11-28,True,2357.HK,no_change,True,eligible_no_change,0
2022-12-05,2022-12-05,5,2022-11-28,True,2359.HK,no_change,True,eligible_no_change,0
2022-12-05,2022-12-05,5,2022-11-28,True,2367.HK,no_change,True,eligible_no_change,0
2022-12-05,2022-12-05,5,2022-11-28,True,2378.HK,no_change,True,eligible_no_change,0
2022-12-05,2022-12-05,5,2022-11-28,True,2380.HK,no_change,True,eligible_no_change,0
2022-12-05,2022-12-05,5,2022-11-28,True,2382.HK,no_change,True,eligible_no_change,0
2022-12-05,2022-12-05,5,2022-11-28,True,2386.HK,no_change,True,eligible_no_change,0
2022-12-05,2022-12-05,5,2022-11-28,True,2388.HK,no_change,True,eligible_no_change,0
2022-12-05,2022-12-05,5,2022-11-28,True,2400.HK,no_change,True,eligible_no_change,0
2022-12-05,2022-12-05,5,2022-11-28,True,2402.HK,no_change,True,eligible_no_change,0
2022-12-05,2022-12-05,5,2022-11-28,True,2410.HK,no_change,True,eligible_no_change,0
2022-12-05,2022-12-05,5,2022-11-28,True,2419.HK,no_change,True,eligible_no_change,0
2022-12-05,2022-12-05,5,2022-11-28,True,2423.HK,no_change,True,eligible_no_change,0
2022-12-05,2022-12-05,5,2022-11-28,True,2431.HK,no_change,True,eligible_no_change,0
2022-12-05,2022-12-05,5,2022-11-28,True,2432.HK,no_change,True,eligible_no_change,0
2022-12-05,2022-12-05,5,2022-11-28,True,2460.HK,no_change,True,eligible_no_change,0
2022-12-05,2022-12-05,5,2022-11-28,True,2465.HK,no_change,True,eligible_no_change,0
2022-12-05,2022-12-05,5,2022-11-28,True,2473.HK,no_change,True,eligible_no_change,0
2022-12-05,2022-12-05,5,2022-11-28,True,2477.HK,no_change,True,eligible_no_change,0
2022-12-05,2022-12-05,5,2022-11-28,True,2498.HK,no_change,True,eligible_no_change,0
