index,n,keep_rate,mean_fwd_ret
Hang Seng Stock Connect Greater Bay Area Composite Index,67,0.5671641791044776,0.08882424921727164
Hang Seng Stock Connect China AH Index Series,17,0.17647058823529413,-0.08802692611168386
Hang Seng Stock Connect China Enterprises Index,12,0.5833333333333334,0.03749726421286778
Hang Seng HKEX Stock Connect China Enterprises Index,4,0.75,0.042012683206475304
