year,n,keep_rate,mean_fwd_ret
2018,1,0.0,-0.040920683175796
2019,16,0.1875,-0.09097106629517686
2020,18,0.5555555555555556,0.059697601935894636
2021,25,0.4,-0.015484796584241692
2022,4,0.75,0.10299645495904207
2024,32,0.6875,0.1656802852511057
2025,4,0.75,0.042012683206475304
