source_row_id,ticker_normalized_raw,ticker_raw,ticker_parse_status,parsed_tokens,mapped_tickers
0,1211.HK / 002594.SZ,1211 / 002594,parse_ok,1211.HK | 002594.SZ,1211.HK | 002594.SZ
1,1359.HK,1359,parse_ok,1359.HK,1359.HK
2,2333.HK / 601633.SH,2333 / 601633,parse_ok,2333.HK | 601633.SH,2333.HK | 601633.SS
3,1186.HK / 601186.SH,1186 / 601186,parse_ok,1186.HK | 601186.SH,1186.HK | 601186.SS
4,1776.HK / 000776.SZ,1776 / 000776,parse_ok,1776.HK | 000776.SZ,1776.HK | 000776.SZ
5,601211.SH,601211,parse_ok,601211.SH,601211.SS
6,0317.HK / 600685.SH,317 / 600685,parse_ok,0317.HK | 600685.SH,0317.HK | 600685.SS
7,0054.HK,54,parse_ok,0054.HK,0054.HK
8,0829.HK,829,parse_ok,0829.HK,0829.HK
9,1157.HK,1157,parse_ok,1157.HK,1157.HK
10,1528.HK,1528,parse_ok,1528.HK,1528.HK
11,87001,87001,parse_failed,87001,
12,0010.HK,10,parse_ok,0010.HK,0010.HK
13,0109.HK,109,parse_ok,0109.HK,0109.HK
14,0136.HK,136,parse_ok,0136.HK,0136.HK
15,0400.HK,400,parse_ok,0400.HK,0400.HK
16,0405.HK,405,parse_ok,0405.HK,0405.HK
17,0607.HK,607,parse_ok,0607.HK,0607.HK
18,0715.HK,715,parse_ok,0715.HK,0715.HK
19,0911.HK,911,parse_ok,0911.HK,0911.HK
20,0958.HK,958,parse_ok,0958.HK,0958.HK
21,1071.HK,1071,parse_ok,1071.HK,1071.HK
22,1282.HK,1282,parse_ok,1282.HK,1282.HK
23,1308.HK,1308,parse_ok,1308.HK,1308.HK
24,1363.HK,1363,parse_ok,1363.HK,1363.HK
25,1432.HK,1432,parse_ok,1432.HK,1432.HK
26,1508.HK,1508,parse_ok,1508.HK,1508.HK
27,1970.HK,1970,parse_ok,1970.HK,1970.HK
28,2066.HK,2066,parse_ok,2066.HK,2066.HK
29,2098.HK,2098,parse_ok,2098.HK,2098.HK
30,2298.HK,2298,parse_ok,2298.HK,2298.HK
31,3698.HK,3698,parse_ok,3698.HK,3698.HK
