source_row_id,index_raw,index,index_normalization_status
992,Hang Seng Stock Connect Greater Bay Area Composite Index,Hang Seng Stock Connect Greater Bay Area Composite Index,unchanged
993,Hang Seng China Enterprises Index,Hang Seng China Enterprises Index,unchanged
994,Hang Seng China Enterprises Index,Hang Seng China Enterprises Index,unchanged
995,Hang Seng China Enterprises Index,Hang Seng China Enterprises Index,unchanged
996,Hang Seng China Enterprises Index,Hang Seng China Enterprises Index,unchanged
997,Hang Seng China Enterprises Index,Hang Seng China Enterprises Index,unchanged
998,Hang Seng China Enterprises Index,Hang Seng China Enterprises Index,unchanged
999,Hang Seng China Enterprises Index,Hang Seng China Enterprises Index,unchanged
1000,Hang Seng China Enterprises Index,Hang Seng China Enterprises Index,unchanged
1001,Hang Seng China Enterprises Index,Hang Seng China Enterprises Index,unchanged
1002,Hang Seng China Enterprises Index,Hang Seng China Enterprises Index,unchanged
1003,Hang Seng China Enterprises Index,Hang Seng China Enterprises Index,unchanged
1004,Hang Seng China Enterprises Index,Hang Seng China Enterprises Index,unchanged
1005,Hang Seng China Enterprises Index,Hang Seng China Enterprises Index,unchanged
1006,Hang Seng China Enterprises Index,Hang Seng China Enterprises Index,unchanged
1007,Hang Seng China Enterprises Index,Hang Seng China Enterprises Index,unchanged
1008,Hang Seng China Enterprises Index,Hang Seng China Enterprises Index,unchanged
1009,Hang Seng China Enterprises Index,Hang Seng China Enterprises Index,unchanged
1010,Hang Seng China Enterprises Index,Hang Seng China Enterprises Index,unchanged
1011,Hang Seng Composite LargeCap & MidCap Index,Hang Seng Composite LargeCap & MidCap Index,unchanged
1012,Hang Seng Composite LargeCap & MidCap Index,Hang Seng Composite LargeCap & MidCap Index,unchanged
1013,Hang Seng Composite LargeCap & MidCap Index,Hang Seng Composite LargeCap & MidCap Index,unchanged
1014,Hang Seng Composite LargeCap & MidCap Index,Hang Seng Composite LargeCap & MidCap Index,unchanged
1015,Hang Seng Composite LargeCap & MidCap Index,Hang Seng Composite LargeCap & MidCap Index,unchanged
1016,Hang Seng Composite LargeCap & MidCap Index,Hang Seng Composite LargeCap & MidCap Index,unchanged
1017,Hang Seng Composite LargeCap & MidCap Index,Hang Seng Composite LargeCap & MidCap Index,unchanged
1018,Hang Seng Index,Hang Seng Index,unchanged
1019,Hang Seng Index,Hang Seng Index,unchanged
1020,Hang Seng Index,Hang Seng Index,unchanged
1021,Hang Seng Index,Hang Seng Index,unchanged
1022,Hang Seng TECH Index,Hang Seng TECH Index,unchanged
1023,Hang Seng TECH Index,Hang Seng TECH Index,unchanged
1024,Hang Seng TECH Index,Hang Seng TECH Index,unchanged
1025,Hang Seng TECH Index,Hang Seng TECH Index,unchanged
1026,Hang Seng China 50 Index,Hang Seng China 50 Index,unchanged
1027,Hang Seng China 50 Index,Hang Seng China 50 Index,unchanged
1028,Hang Seng China 50 Index,Hang Seng China 50 Index,unchanged
1029,Hang Seng China 50 Index,Hang Seng China 50 Index,unchanged
1030,Hang Seng China 50 Index,Hang Seng China 50 Index,unchanged
1031,Hang Seng China 50 Index,Hang Seng China 50 Index,unchanged
1032,Hang Seng China 50 Index,Hang Seng China 50 Index,unchanged
1033,Hang Seng China 50 Index,Hang Seng China 50 Index,unchanged
1034,Hang Seng China 50 Index,Hang Seng China 50 Index,unchanged
1035,Hang Seng China 50 Index,Hang Seng China 50 Index,unchanged
1036,Hang Seng China 50 Index,Hang Seng China 50 Index,unchanged
1037,Hang Seng China 50 Index,Hang Seng China 50 Index,unchanged
1038,Hang Seng China 50 Index,Hang Seng China 50 Index,unchanged
1039,Hang Seng China 50 Index,Hang Seng China 50 Index,unchanged
1040,Hang Seng China 50 Index,Hang Seng China 50 Index,unchanged
1041,Hang Seng China 50 Index,Hang Seng China 50 Index,unchanged
1042,Hang Seng China Enterprises Index,Hang Seng China Enterprises Index,unchanged
1043,Hang Seng China Enterprises Index,Hang Seng China Enterprises Index,unchanged
1044,Hang Seng China Enterprises Index,Hang Seng China Enterprises Index,unchanged
1045,Hang Seng China Enterprises Index,Hang Seng China Enterprises Index,unchanged
1046,Hang Seng China Enterprises Index,Hang Seng China Enterprises Index,unchanged
1047,Hang Seng China Enterprises Index,Hang Seng China Enterprises Index,unchanged
1048,Hang Seng Composite Index,Hang Seng Composite Index,unchanged
1049,Hang Seng Composite Index,Hang Seng Composite Index,unchanged
1050,Hang Seng Composite Index,Hang Seng Composite Index,unchanged
1051,Hang Seng Composite Index,Hang Seng Composite Index,unchanged
1052,Hang Seng Composite Index,Hang Seng Composite Index,unchanged
1053,Hang Seng Composite Index,Hang Seng Composite Index,unchanged
1054,Hang Seng Composite Index,Hang Seng Composite Index,unchanged
1055,Hang Seng Composite Index,Hang Seng Composite Index,unchanged
1056,Hang Seng Composite Index,Hang Seng Composite Index,unchanged
1057,Hang Seng Composite Index,Hang Seng Composite Index,unchanged
1058,Hang Seng Composite Index,Hang Seng Composite Index,unchanged
1059,Hang Seng Composite Index,Hang Seng Composite Index,unchanged
1060,Hang Seng Composite Index,Hang Seng Composite Index,unchanged
1061,Hang Seng Composite Index,Hang Seng Composite Index,unchanged
1062,Hang Seng Composite Index,Hang Seng Composite Index,unchanged
1063,Hang Seng Composite Index,Hang Seng Composite Index,unchanged
1064,Hang Seng Composite Index,Hang Seng Composite Index,unchanged
1065,Hang Seng Composite Index,Hang Seng Composite Index,unchanged
1066,Hang Seng Composite Index,Hang Seng Composite Index,unchanged
1067,Hang Seng Composite Index,Hang Seng Composite Index,unchanged
1068,Hang Seng Composite Index,Hang Seng Composite Index,unchanged
1069,Hang Seng Composite Index,Hang Seng Composite Index,unchanged
1070,Hang Seng Composite Index,Hang Seng Composite Index,unchanged
1071,Hang Seng Composite Index,Hang Seng Composite Index,unchanged
1072,Hang Seng Composite Index,Hang Seng Composite Index,unchanged
1073,Hang Seng Composite Index,Hang Seng Composite Index,unchanged
1074,Hang Seng Composite Index,Hang Seng Composite Index,unchanged
1075,Hang Seng Composite Index,Hang Seng Composite Index,unchanged
1076,Hang Seng Composite Index,Hang Seng Composite Index,unchanged
1077,Hang Seng Composite Index,Hang Seng Composite Index,unchanged
